patient,Q8NI22_N,Q8NI22_C,Q8NI22.3_N,Q8NI22.3_C
1,3.36893245837009,7.61648904217535,0,0
2,4.36125876680369,5.45120024621843,0,0
3,3.9797453064068,5.61316640372939,0,0
4,3.38547381936098,7.37069419408156,0,0
5,4.1024256366249,12.1379756963705,0,0
6,2.87500738807857,8.80133568427433,0,0
7,3.93866283984901,6.84952784722358,0,0
8,4.93026103975486,8.76846580478605,0,0
9,4.727091940591,13.2536573947577,0,0
10,4.39898312154619,7.75590686388403,0,0
11,4.89631335069359,10.5652083007085,0,0
12,5.17966405744345,7.69395455409743,0,0
13,3.23636331569592,5.90994491229047,0,0
14,4.58578311562606,9.22552764734555,0,0
15,6.29991181154702,7.28429372059575,0,0
16,3.8055627869621,7.90832011035699,0,0
17,5.28510240088048,6.13228621621371,0,0
18,3.59682005033653,7.15230533375756,0,0
19,2.67507201712898,4.88900116351459,0,0
20,4.04374334975164,7.25563822453527,0,0
21,4.13443086850748,9.86109170865828,0,0
22,3.80216034575395,7.62300152131274,0,0
23,6.27712807077758,8.71666088839225,0,0
24,4.39321399589981,8.829327684655,0,0
25,3.94062718263649,6.77638826656153,0,0
26,3.79650533172239,8.21230268976925,0,0
27,3.18262571745516,8.99995018535859,0,0
28,2.94608927056832,6.9695531481407,0,0
29,1.96703873322319,3.84213549102059,0,0
30,2.50969873580386,7.79025890925105,0,0
31,2.27381720332247,4.55160699563149,0,0
32,1.5743178700347,4.64246974751573,0,0
33,1.61522713652044,4.63692863941573,0,0
34,1.95816167645554,4.4865408989334,0,0
35,1.70597290497609,3.77507181527351,0,0
36,1.00367890289824,3.30778741828025,0,0
37,4.63443715881237,9.68767992543603,0,0
38,2.95956944944464,9.5471175321821,0,0
39,3.57161378548013,9.54489111828959,0,0
40,2.5198495318772,9.41963127595806,0,0
41,3.13807833951694,6.37883344920574,0,0
42,2.47493994992296,5.08465988324895,0,0
43,2.13112884953207,6.52767336234998,0,0
44,1.70415921208287,6.55231078975716,0,0
45,2.33815849639282,4.43862453671269,0,0
46,1.88396204396451,6.21477435230673,0,0
47,3.0319580568407,6.96505301907188,0,0
48,1.80874077159091,4.02751593972242,0,0
49,0.683011425943541,2.73232248893742,0,0
50,0.699184733025914,1.93125118156061,0,0
51,0.927060040650171,4.22792899426658,0,0
52,0.708994075376165,3.64192664766011,0,0
53,3.97942006877599,8.5413552767323,0,0
54,3.6613865727932,6.70967167364018,0,0
55,3.48459202321004,8.42597800712494,0,0
56,3.36502262724113,7.04867093525916,0,0
57,3.48210999647734,9.69469132902835,0,0
58,3.91883461572417,7.46637777592743,0,0
59,3.96470715229615,7.20922059864739,0,0
60,5.18912887628165,7.42313834097814,0,0
61,5.08588931716788,8.27667774660949,0,0
62,3.70027608166339,11.1458300634773,0,0
63,4.38792985518024,9.94923503331796,0,0
64,4.50905157961063,9.24342492068886,0,0
65,3.42625677642182,7.00383455404886,0,0
66,4.30777495210403,7.95709471780001,0,0
67,4.37165088872206,8.25742916014189,0,0
68,3.06872359111359,4.75190083031441,0,0
69,4.98846820350239,7.44913934929546,0,0
70,4.76683023200757,7.52113858418044,0,0
71,4.00882626500928,8.1151284498926,0,0
72,2.94744426898128,6.47148619243624,0,0
73,2.59347154633129,3.94596311537182,0.82982086037482,1.10839839643403
74,1.68439201889082,8.27655330682138,0.970083822766712,0.988288641874939
75,1.15397858430957,4.24801393842706,0.410773608443952,1.23568845404466
76,1.61310711468573,4.93752446539012,0.822030809772781,1.25921279488653
77,3.96207646868818,6.55576610301109,0,0
78,3.71875476077497,6.2071719281353,0,0
79,3.0149198346617,6.66467668337303,0,0
80,2.78214180457992,4.84625640105232,0,0
81,4.94846147214625,9.46602891287444,0,0
82,4.42418760090468,8.50406426806729,0,0
83,3.60553200463248,8.76491795322008,0,0
84,3.79895367296382,6.13112428936636,0,0
85,2.31565747012242,6.75479738050438,0,0
86,3.24907605408434,9.53475099394284,0,0
87,1.19348950939468,3.69357196477081,0,0
88,2.21017426105433,6.89602696087903,0,0
89,0.437985704343792,1.75507452299484,0,0
90,0.501718088499681,1.64017644841385,0,0
91,0.538120541669083,1.0793800382764,0,0
92,0.702832308762976,1.66723815461347,0,0
93,1.42366460045626,2.11278554998654,0,0
94,1.27517805159665,3.2862540489596,0,0
95,1.10123215200569,2.97379474428865,0,0
96,1.50616577519377,3.00679938208285,0,0
97,1.42947882329678,1.89943366464052,0,0
98,1.80948826861532,2.96408036820755,0,0
99,1.68449039546323,2.42547646837092,0,0
100,1.78045635322098,2.04163749823532,0,0
