patient,Q9BY77_N,Q9BY77_C,Q9BY77.2_N,Q9BY77.2_C
1,2.87511033741026,6.5200749492967,0,0
2,3.72666828432368,4.22273771942026,0,0
3,4.03863336849777,4.60766246272071,0,0
4,3.50835724427974,4.94972546013358,0,0
5,2.29834421451931,4.59058811762155,0,0
6,1.49251998067912,3.57692974377028,0,0
7,1.37716487270131,2.1121436468876,0,0
8,2.59610292823259,2.933428760267,0,0
9,4.68659468088912,7.07356304455688,0,0
10,4.62060604426512,6.34985351326464,0,0
11,3.64544585886187,8.66970481908038,0,0
12,4.88113121314252,7.71666966261005,0,0
13,3.64023289627071,5.74721331096938,0,0
14,4.87639967585565,7.48612603413152,0,0
15,8.83892009932737,6.80447258026,0,0
16,5.0980182645064,7.34458926895129,0,0
17,7.27712579093898,8.51515233443106,0,0
18,5.94365287943963,4.97834218517873,0,0
19,4.09395762865016,6.03914230509526,0,0
20,6.21829568489774,8.65093910139735,0,0
21,2.62620394764054,5.11896018110192,0,0
22,3.53737633845941,4.98101982352179,0,0
23,4.15993379061172,3.91967583401192,0,0
24,3.88053173955629,5.04023692348035,0,0
25,3.64516513033384,7.67240977548035,0,0
26,4.02582333860939,5.63439285346815,0,0
27,3.16189112611363,6.58965693675909,0,0
29,3.241956012676,5.83399575286366,0,0
30,3.41422757928738,6.15625260614989,0,0
31,2.52163817482831,6.07457531746112,0,0
32,2.1583414169265,4.56842178498476,0,0
33,0.920459524596862,3.32121601992054,0,0
34,1.76892052859024,3.45900070382802,0,0
35,1.48229022153592,2.10616430808564,0,0
36,0.627670032559571,1.80859143360747,0,0
37,1.98731222987675,2.63435913588793,0.511923043740833,0.262925258102551
38,2.28634355205826,3.0148685699516,0.325224311966181,0.412987087682972
39,2.04020145293124,2.78767746917925,0.439199235038679,0.645061542000978
40,1.7910483881546,2.74829196446551,0.397402438673684,0.973240732752423
41,3.6176778926935,4.48042999818438,0,0
42,2.82074551749195,5.43671628975165,0,0
43,2.20578903907235,5.47432117615509,0,0
44,1.59478542926161,6.78090335385528,0,0
45,2.96609654320116,3.68576661734399,0,0
46,1.70824000881763,5.2941650454213,0,0
47,3.29067096488237,5.08651545709795,0,0
49,0.221225045984576,0.770169931993453,0,0
51,0.981732732580705,1.08050675846707,0,0
52,0.605494524038543,1.22393644847196,0,0
53,2.89781309764749,3.77689218896393,1.22267891886429,0.917584037329335
54,2.9271102141443,3.92446690868765,0.869069377647881,1.00747092068359
55,2.58405676197649,3.43419035536623,0.967404213026523,1.08928045010823
56,2.39977372110546,3.92260254120987,0.985176076208445,1.00961028241259
58,2.74912646201214,6.19729948741686,0,0
61,4.47160794787253,8.82593309132799,0,0
62,3.70151399408893,10.6239002992681,0,0
63,5.45351853132372,11.5290384924937,0,0
64,4.47337482054675,7.89700681465099,0,0
65,3.55246235674781,5.20070993214278,1.22862409120388,1.08605464235734
66,4.07074834889605,6.19580886079115,1.18103877042506,1.42272002496599
67,3.57523983906643,6.96331783753456,1.13770912672677,1.7213732269028
68,3.28218443626602,5.84257895856087,1.17348680264678,0.976776022898493
69,5.78750810892246,5.92338011704688,0,0
70,5.85998223826179,6.29318852952362,0,0
71,4.49132204574918,5.95696854684674,0,0
72,2.387145009826,6.19829896882685,0,0
73,6.31580496428576,6.64315634855813,0,0
74,5.61298512040995,10.4937236802399,0,0
75,2.5686583465353,6.7023155307076,0,0
76,4.89649496615134,7.90012386812914,0,0
77,5.82962072126235,6.6540793623229,0,0
78,5.3085308558238,5.89600399663987,0,0
79,4.52782849925139,7.12660955182473,0,0
80,4.43744018725629,4.35752346387357,0,0
81,1.98029124078313,2.33779933573605,0,0
82,1.23282816650042,2.09352607685323,0,0
83,1.3952019630716,2.29166876991836,0,0
84,2.06674800651262,1.95104549365411,0,0
85,2.64838435058927,3.83367673008894,0,0
86,3.12673963949957,6.17834676096255,0,0
87,0.728197403224491,3.21059847398119,0,0
88,1.7191527857163,4.63331721283465,0,0
89,4.34559364797366,9.94224843686411,0,0
90,3.49546886330645,10.4194229248577,0,0
91,5.06952090833809,6.8159021451794,0,0
92,4.96828019474648,7.59508610935172,0,0
93,4.9932468252472,6.82947560456368,0,0
94,4.37600347631546,6.27629684637692,0,0
95,2.76100837115343,10.6627746567887,0,0
96,4.8445014394496,8.26989455521019,0,0
97,2.17310415404856,3.68956995167269,0,0
98,3.49719422927261,6.32739097975604,0,0
99,2.90760273367413,7.31250926886021,0,0
100,2.68109818407877,9.17431956653027,0,0
