patient,Q9Y6Q2_N,Q9Y6Q2_C,Q9Y6Q2.3_N,Q9Y6Q2.3_C
1,1.88198331475573,2.28828068998336,3.29167553345844,0.782116511876044
2,2.57748650710852,1.96588625206953,1.96647831864794,1.21831653479329
3,2.8502479296965,1.70521816312597,2.36264905511003,1.0777370856108
4,1.81410088328993,2.7199815865881,2.06179322988826,0.838580737905572
5,1.01470958893534,1.53258566780126,2.30858498018397,2.62545973893165
6,0.525725885742961,1.78504199658033,1.87999419971509,3.5718854259027
7,0.780974039096898,0.793474237783071,2.24697268495818,1.64488720033786
8,1.45942374197592,0.696601671688696,2.53550638880596,1.91100126966486
9,1.14103143862685,0.500789734111926,1.06660408501273,0.579547710475715
10,0.678022234892922,1.18682727870514,0.897523014355967,1.67062954118761
11,1.22763348472635,1.71975689733893,0.914536338008996,0.707682228890036
12,1.33735518810527,1.12329901321467,1.40305893830508,1.00383430798115
13,1.13712951910148,1.59897314831661,0,0
14,1.15961020461595,1.85873467377268,0,0
15,1.63377694154401,0.850596186359824,0,0
16,1.19771110588465,1.27145006190398,0,0
17,0,0,2.56040104947526,1.04793665667166
18,0,0,1.47103823088456,1.01260307346327
19,0,0,0.968630059970015,0.51438155922039
20,0,0,0.953988005997002,0.795738380809595
21,0,0,0.780587844535546,0.499086343158335
22,0,0,1.11346935058969,1.7597403269298
23,0,0,1.04018227609199,0.521256231594937
24,0,0,0.994851238455123,1.390960281278
25,1.0894823475494,1.48188225169108,1.08128023440503,0.964462108629905
26,0.993158724244635,1.64060124860717,0.721134891681958,0.818691480334491
27,0.741878718227251,1.41182171051136,0.585565088735939,1.26731021678114
28,0.8489356752152,1.3945934504974,0.64252362544513,0.9524444992421
29,1.25525102262804,1.06921041515744,1.24613371509857,0.780187113599475
30,1.14755171138362,1.49486880377141,1.13430780734229,0.81283624824467
31,0.836399211224943,1.14324014961338,1.28628745463498,2.08703700326446
32,0.756033450715785,0.924289413036675,0.942908467528678,0.959691244323674
33,0,0,1.10720765297707,1.29752247862094
34,0,0,1.06062605270918,1.17427116289066
35,0,0,1.08537127834505,0.689272737268779
36,0,0,1.24743226425562,1.36342144852783
37,0.689277557678863,1.16252621766488,1.52550176524641,1.32172945785172
38,1.04485356948652,1.03364406121339,0.997610871983363,1.65658461092035
39,0.678407519614697,0.48463295269168,1.07634569811868,1.37920394641389
40,0.681660063699216,1.28205546492659,0.833267882187938,0.883116506262998
41,1.41439470919518,1.61530578854003,1.19045168285947,1.26592204669655
42,0.961472882903054,1.4463341542807,0.78499000145362,1.34824406667793
43,0.965563267485318,2.25511082789384,0.84202296719141,1.51680109375061
44,0.453423867178754,1.16823105936655,0.452001084321729,1.10674675980309
45,0.918209120640434,1.15126191783804,1.12696815423865,0.712331436142292
46,0.602939939538773,1.06083230667993,0.836305955865667,0.571926309829711
47,1.01049907724887,1.35095219011147,1.33584865870962,1.44021785223915
48,0.439149386729206,0.989703779568855,0.983392892754075,1.15315901792284
49,1.11465154592514,2.2361123761154,0.994370858790815,2.02139396246379
50,1.50952285406992,0.953826136859218,1.73409485344878,1.14801254217824
51,2.50132570375136,1.57909864753153,1.20515558365646,1.19172629147661
52,2.13500944093556,2.95219935288085,1.82518048736427,2.08529197339303
57,2.31398098474888,2.46115774465374,0,0
58,2.30555450212049,1.44807746087157,0,0
59,2.64307681078893,1.87450082293185,0,0
60,2.55560479801227,1.30632881704344,0,0
61,0,0,1.1135938737163,1.36472896158073
62,0,0,0.801975915574516,0.747663054396767
63,0,0,1.14460463961994,1.08714473108876
64,0,0,0.764578877084343,1.76356373864026
65,1.01889115598396,1.14313234362907,0,0
66,0.978590023218181,1.29705340181524,0,0
67,1.35900513614297,1.14920987828045,0,0
68,1.01294589460353,1.17733905579399,0,0
69,1.21040014883934,1.08973294787761,1.07660744900046,1.30847253023797
70,1.2106911488298,1.21558090276784,0.835808600324006,0.559878261690181
71,1.23036704162731,1.57954556296572,0.902896396608943,1.02309331697573
72,0.525266909007642,1.54590882636365,0.755483335692603,1.23301915726891
73,1.17947047133352,1.36397683927559,0,0
74,1.17462000299619,1.46842428921782,0,0
75,0.686633554974244,1.44455956595118,0,0
76,1.02238758280106,0.960091016995496,0,0
77,1.69451675643327,1.09996259724716,0.801804636145846,2.49262595447407
78,1.38235338120886,1.09862357869539,1.20009077335286,1.90173526673698
79,1.05297725912627,1.2028276481149,0.884627584268359,1.14041503021051
80,0.871169958108917,0.924551166965889,1.30031796461386,1.17319916756709
81,1.25897123947637,0.906677697211543,0,0
82,0.918613071195679,0.831233636673317,0,0
83,0.936301523188476,1.18022288189206,0,0
84,1.12277969730887,0.942057521047253,0,0
85,1.04232608074395,1.25709342522374,0.711745157706613,0.980862676906728
86,1.22518335600802,1.05887804991079,0.695210355987055,1.25353813456987
87,0.351114480131789,1.62414749248867,0.440176785973047,0.831140414432691
88,1.10512337567045,1.4193139776475,0.656910592667729,2.52806839588465
89,1.93690947030385,3.32767795013969,0,0
90,1.43396754092395,2.11677007585939,0,0
91,2.14995291659134,1.78606084287388,0,0
92,2.16124168087036,2.39044858415292,0,0
93,2.42085991220182,1.7599082808659,0.59714355942509,0.792900296252215
94,2.10532965706226,2.91979410678537,0.482140778017827,0.683509489126638
95,1.45348039086757,2.10976030533566,0.287136961668327,0.610344247661677
96,1.52490265951814,1.28520306698805,0.588649271012562,1.16720268050039
