patient,Q8NDA8_N,Q8NDA8_C,Q8NDA8.3_N,Q8NDA8.3_C
1,3.05060481659645,5.11064423330443,0.863432173980103,1.38875125318115
2,3.96635263347281,4.54830151720108,0.881265905760777,0.84850003855942
3,3.59900940394995,5.81811897148379,1.10660233670086,1.07087703400941
4,3.44721139708331,4.22071138065727,0.909269684583944,1.00128692064471
5,0.474844314833379,1.67793979160971,0,0
6,0.410966311248823,1.52010692912907,0,0
7,0.688653968832589,1.61445365898114,0,0
8,0.644773535040554,1.2888544609496,0,0
13,1.02733531115912,1.02381604229096,0,0
14,1.63912560852987,1.04463050165759,0,0
15,2.55039971328163,0.845948609714576,0,0
16,1.34025655320716,1.60685236990652,0,0
17,2.38204958505311,2.43911203144996,0,0
18,1.5264870755555,1.69096913708775,0,0
19,1.6021600650066,1.33522591905755,0,0
20,2.06847764183131,2.19552494388809,0,0
21,2.8218956855274,4.27642568860789,0,0
22,2.9941785372692,3.12459630111302,0,0
23,5.58995465828426,4.77343262648351,0,0
24,4.14558135332474,4.114233094552,0,0
25,1.09766319992992,0.750148768618732,0,0
26,0.733844634210439,1.31599209789428,0,0
27,0.552751690827093,1.16106732799478,0,0
28,1.08210819480986,0.728433081307714,0,0
29,0,0,0.769721165722523,1.40761099661648
30,0,0,0.685752474658586,1.46962354398402
31,0,0,0.834907294338289,0.668362509053629
32,0,0,0.523735378607893,0.780323096463574
45,2.51570772172099,3.5311593180296,0,0
46,2.14570072412964,3.72132491209601,0,0
47,3.14407703522042,6.82637968843247,0,0
48,2.20813654848616,3.54801877200511,0,0
53,1.79820374027958,1.8304636038895,0,0
54,1.76522032539772,2.04726181679432,0,0
55,1.66593328173946,1.52183147668112,0,0
56,1.60490648034625,2.10535828537198,0,0
57,2.11860052058583,3.43220835411424,0,0
58,2.30172130359738,2.41347676327084,0,0
59,2.48421295177836,2.92174001797279,0,0
60,2.01054000482776,2.40426855052497,0,0
61,3.17283444034837,10.094374772818,0,0
62,2.62416089469828,8.41315354306624,0,0
63,2.80254241721641,10.4089831310639,0,0
64,3.35242397832464,4.67780354458145,0,0
65,2.47698869584882,2.4638741264418,0,0
66,2.14178572402806,2.81391609417056,0,0
67,2.87670738599943,2.79617858216755,0,0
68,2.01023207657168,2.45649199842659,0,0
69,0.917812081077505,0.71114269111496,0,0
70,0.853638189046597,1.25873804003245,0,0
71,0.998849311600665,1.35145475780886,0,0
72,0.217018681426163,0.478659332945935,0,0
77,1.12484493544523,2.14933049381073,0,0
78,0.827136962598163,3.33560495141754,0,0
79,0.993776121389591,2.18049247970185,0,0
80,0.548316251830161,1.48210035937708,0,0
81,1.71645228030777,2.49877255846103,0,0
82,2.35252654903537,3.75610337381916,0,0
83,2.06286576697485,3.73303682569202,0,0
84,2.31107766853364,1.81592297698796,0,0
85,2.68328298297947,3.87578421670605,0,0
86,3.49743698433353,4.86041382973537,0,0
88,2.64697601679855,8.79734999138757,0,0
91,3.63597278006773,5.43465118643232,0,0
93,2.80886644678462,2.42296939102694,0,0
94,2.75505121746935,3.25949658004675,0,0
95,2.08273061672298,5.32492118428709,0,0
96,2.99869557177104,2.9290219704616,0,0
97,0.865562709538633,0.954207850339606,0,0
98,0.570310604040519,0.651568899448421,0,0
99,0.699723461435903,0.882698812651864,0,0
100,0.907483918518496,2.35523670562575,0,0
