patient,Q9HCM4_N,Q9HCM4_C,Q9HCM4.2_N,Q9HCM4.2_C
1,0,0,5.45716798289801,8.21706918943996
2,0,0,6.3813821199662,7.81348749427066
3,0,0,6.92209039658239,7.94784750486532
4,0,0,6.22634209568626,7.65980637194111
5,0,0,5.49337691755602,6.9807124625268
6,0,0,2.99636113177178,7.29180861736346
7,0,0,3.07220063762438,2.98099062740872
8,0,0,8.65985693614297,4.02529836520442
9,0,0,6.26073371352141,4.98683366203598
10,0,0,3.85036227064425,6.02615303379298
11,0,0,3.54017303104427,4.30227949190354
12,0,0,5.88263243208993,4.63735919789825
13,0,0,6.1441164643426,7.58203688351303
14,0,0,9.59307162062748,11.4801917097444
15,0,0,10.0382608953328,9.79083887615449
16,0,0,6.52779397027357,10.5075220619667
17,0,0,18.3152296471821,16.8749130540514
18,0,0,10.7358276173217,9.08950459536083
19,0,0,8.89513722450494,7.29461434081156
20,0,0,10.474624406117,17.9444146427745
21,0,0,5.33147597752205,13.2742550761611
22,0,0,5.96269628502584,5.92861232528669
23,0,0,5.91455936851059,10.4051386622675
24,0,0,4.96714894773974,8.52585791160805
25,0,0,4.47676810190867,4.3046749300503
26,0,0,4.62106447540353,4.24228329470204
27,0,0,3.11950726384067,4.4419719377284
28,0,0,3.62376802500631,4.97322255435279
29,0,0,4.88766442603352,9.83271383863433
30,0,0,4.90078777232594,9.3785596200917
31,0,0,4.43711208763917,3.28050151128186
32,0,0,3.44735179699561,6.25068587932673
34,0,0,10.5316900539298,6.68766435315157
35,0,0,8.87601546326535,24.3964668810803
37,0,0,6.97547655206777,2.72690945815501
38,0,0,2.80642759671781,2.93328587626547
39,0,0,2.81625749017708,8.60318545529492
40,0,0,1.61847119402057,2.48475674189354
41,0,0,8.74510945362284,7.64439222800875
42,0,0,9.95599033564692,8.74260311347056
43,0,0,7.68884953966162,8.49455681657738
44,0,0,4.4106156568139,11.4756541416677
45,0,0,5.09341130707172,6.12599135968338
46,0,0,2.84272657971031,7.45791376497156
47,0,0,7.6631146692024,10.9703557469876
48,0,0,2.65562467904339,6.21582651686826
50,0,0,2.1437508778189,1.3913866521515
51,0,0,3.8092272954508,3.38957343463387
52,0,0,1.14331707131057,2.84420701577453
54,0,0,5.93185806440667,9.76712421085504
55,0,0,7.98852251755747,13.8720437160399
56,0,0,8.20225141468405,8.30751896638231
57,1.1731423376928,0.972218371623099,5.67926558568725,5.54633571787528
58,1.26442197471756,0.789353863543061,4.91552584203346,5.2960769054949
59,1.14902085188285,0.733650652321112,3.26344888402122,4.40919317659357
60,1.36964774126817,0.985725977148768,5.55794794304301,3.59164190125972
61,0,0,7.18816761207206,8.89539255670622
62,0,0,6.40118859278201,13.1792330750248
63,0,0,7.28683841682659,8.4920193160303
64,0,0,6.76475728656259,7.28272677890017
65,0,0,11.6539676508959,5.17896328733722
66,0,0,10.4348681104245,11.4161016565164
67,0,0,10.9380149352469,11.3403674759545
68,0,0,8.6124354028006,11.7858540716611
69,0.939686807165974,0.804617619326725,13.5676842109509,14.4226616870556
70,1.06379806834688,0.75962004026401,13.3747469482007,10.9372125620683
71,1.05485334216763,0.660367982467317,12.2628180074871,10.2523974783497
72,1.22684819449046,0.793685176218751,6.70833897068226,14.5606428883148
73,0,0,2.0367231569784,2.27150777475651
74,0,0,5.18634085690639,2.15572496980698
75,0,0,1.77693030852149,3.00004099439944
76,0,0,3.82550672173129,1.9806826549321
77,0,0,4.71617568787526,5.02347705974839
78,0,0,4.90208759781357,5.66698454726869
79,0,0,5.19370215890381,5.95881979858232
80,0,0,4.16269897455023,4.4164423954315
81,0,0,2.33125342069636,6.75154563542762
82,0,0,3.95760676550974,8.35705449542505
83,0,0,3.75947129884345,10.6226673598847
84,0,0,3.36769461607402,4.29340600927448
85,0,0,3.9453518214574,4.609564156822
86,0,0,4.08776818539775,5.02877981811516
87,0,0,1.70725860603268,3.47517395243921
88,0,0,3.10397905327905,5.14703509863393
89,0,0,4.11806488514561,5.74727058799626
90,0,0,3.85044046145044,6.35195331748678
91,0,0,6.72028159836219,4.33065627181226
92,0,0,4.84735722307868,10.9528732802487
93,0,0,6.55030713503084,5.39836769057078
94,0,0,6.37664616702307,6.45787385462865
95,0,0,3.8721869052361,7.22491197966929
96,0,0,5.85582701918185,6.25203549986966
97,0,0,2.46045699899116,2.64442784837019
98,0,0,3.1010694950035,4.21452872420087
99,0,0,3.62165840425834,7.18114772141215
100,0,0,2.88680295341603,6.25628855619754
