patient,Q9P0K7.2_N,Q9P0K7.2_C,Q9P0K7.3_N,Q9P0K7.3_C
33,0.47177846588529,0.916604381072845,0,0
34,0.824354625424021,0.679012903384777,0,0
35,1.21676207998292,0.682725398559355,0,0
36,0.66511568693481,0.828342272342732,0,0
97,0,0,0.478636381765245,1.06966657360507
98,0,0,0.485747616958481,1.08246320743429
99,0,0,0.581665536633032,1.51609699676943
100,0,0,0.607344553902604,1.52557930841942
