patient,Q27J81_N,Q27J81_C,Q27J81.2_N,Q27J81.2_C
1,1.20708434608377,2.12882221383073,0,0
2,2.2527435312408,1.81121650205717,0,0
3,2.06028936042128,1.9746296461414,0,0
4,1.49901702073267,1.95275272071827,0,0
9,2.78346790590123,3.4113535299382,0.449641801317045,0.641506467910716
10,2.47735691782002,2.67460794070041,0.588999859223225,0.668952464375655
11,2.60984249297632,4.82593079287823,1.01883280411694,1.74456836276611
12,3.17051010944546,4.29381801846074,0.781047535624345,0.923487822808966
13,0.870920126534042,1.12336150812416,0.735674763108331,1.68828862236882
14,0.980792628336096,1.53140165375768,0.516863954407502,1.33910395909166
15,1.79232531553164,2.00139113986235,1.1293316288193,1.99647712080255
16,1.0177657283742,1.70761040737901,0.523362251519913,0.649852156177725
17,3.3271267548717,1.91859492612211,3.56851342742146,4.04666827508917
18,0.73265078021295,1.13739983579849,1.36733232584828,0.980054828173005
19,0.529636838430315,0.581917883897765,1.5473656721365,2.92378327770341
20,0.943005194599254,1.11440650872289,1.780720208108,3.23513282479169
21,0.660639541169626,0.80027338299877,1.52667685323172,2.89728546905359
22,0.950312253839461,0.95519041563483,1.10501594008791,1.16428036948306
23,1.12404431790684,0.919249046248578,2.76758282872108,1.25501625448806
24,1.05110614571159,1.70721762007486,1.71111656071381,1.85106864613005
25,1.10274965812829,0.876256206462982,0,0
26,1.17506585045751,1.585848805514,0,0
27,0.740631797281546,1.17524940573977,0,0
28,0.963224699198781,1.34109160326361,0,0
29,0.456233572260091,1.53472979799829,0.263299097648488,1.95138517239614
30,1.58802706046873,0.978037164215166,0.416838465583597,1.14952788261519
31,0.401838076480968,0.688768001874318,0.452443888069321,1.26365975903166
32,0.327548084315032,1.13720045686506,0.440853860007539,1.49637709823485
33,1.3770823346072,3.11470491029807,0.497839426295885,1.38122271106918
34,2.1714898228956,4.64094331531442,0.521043052853911,1.25289064391441
35,2.49917664470006,3.34569760383206,0.94388185301754,1.09801891754256
36,0.975978622526448,3.18451851823737,0.197295943497825,1.72613809973035
37,1.96632357913111,1.80808040471605,0.414775870459489,1.48096448284037
38,1.3348168924895,2.9599301024663,0.633086403320869,1.58035346624019
39,1.58898547367905,1.94203796356632,0.579513266422371,0.743472853643015
40,0.922594527378024,2.44162475850593,0.467317474908389,1.61338746105757
41,0,0,1.40615554083914,2.05067109033328
42,0,0,0.565576049254818,1.23270147462839
43,0,0,0.58353845245979,2.75946312773337
44,0,0,0.360459108403874,1.77302262757929
45,0.568434732895472,0.841854574946154,0.760520494988343,0.900155431122093
46,0.481300023931715,1.6882894142048,0.781053344758185,2.28613275411992
47,0.817866354668014,1.42402345308054,0.962009046888389,1.24037622302373
48,0.44084545430372,1.57867551253756,0.257079090528665,1.5579259908734
53,2.72340819561174,3.75130547055469,1.04697364796275,1.34735592798192
54,2.45813184909456,3.61611112743551,1.06095724728196,1.1932268886633
55,2.86466989562701,4.70161503868102,0.815639517112031,1.26043533882539
56,2.45744510398764,2.96798409706303,0.672327907950896,0.641400209065282
57,3.58437057276168,6.82533719854632,0,0
58,3.82075034901979,4.76839351851729,0,0
59,3.64466145502534,5.25141659170726,0,0
60,5.48450816128758,3.88752455251554,0,0
61,1.31472998089055,1.56869366421472,0.965462908743489,1.20347990569236
62,0.602122108496287,1.61704318386081,0.589962092026998,1.47381499060006
63,0.835517394832596,1.91262881425443,0.542037784695041,1.76834722778685
64,1.09891538615918,1.47643604443165,1.02907818904675,3.35997935094154
65,1.19303751515873,0.980358733717856,0,0
66,1.17785850805391,0.861921139282402,0,0
67,1.12688854555991,0.956955093529528,0,0
68,0.901606596451385,1.32568735928709,0,0
73,2.21956448399712,2.85773942558785,1.33107873041044,2.74412009805905
74,1.85515076561258,2.98222572997794,0.746126586784683,1.55004894861609
75,1.00320531170305,2.71262808350132,0.46061456807903,1.10403401322017
76,1.57851397634374,3.73177953374777,0.743246304581752,1.66244467997314
81,0.881971967133881,1.70185734999655,0.714884599201585,1.72275586753281
82,1.90767106262515,1.63427466685079,1.12387241772113,1.44482928481266
83,0.814762134916799,1.59369605744666,1.04797676590417,1.61121886641421
84,1.01883587654491,1.36714078574881,0.721375573412149,2.11822296111573
85,0,0,0.943502988601736,3.07037276106887
86,0,0,1.59688534905279,3.06468311963236
87,0,0,0.515304336928679,2.3828931337535
88,0,0,0.965285157162985,2.58470833225724
89,0,0,0.454957994735035,1.69597802449353
90,0,0,0.504859791690512,1.49798328945862
91,0,0,0.774828888634543,1.24953187592995
92,0,0,0.689133569875243,0.703097172942658
93,2.93397564217009,2.67467686477524,0.755460723397409,0.618829631559189
94,2.43207353940776,2.69112932658461,0.622150885284586,0.91583475709262
95,1.54619941443991,5.46341056596963,0.342125142695157,0.642296759958015
96,2.66274650860349,5.08280622656185,0.459976402626357,2.89967285459268
97,1.77373816530059,2.07521173995817,0,0
98,2.00484359829238,3.26587427413504,0,0
99,2.59126692329903,11.0955397796284,0,0
100,1.96508798889894,5.82907216398962,0,0
