patient,P07602_N,P07602_C,P07602.2_N,P07602.2_C,P07602.3_N,P07602.3_C
1,17.82515038844,42.4244107360109,0,0,1.37751351974544,3.11366657173989
2,37.2642201295177,33.6530062328082,0,0,2.44145562273055,2.23783431941618
3,21.3150728173519,31.3030934267802,0,0,1.6153152947978,2.07495139228445
4,17.1745026388668,33.4377791833894,0,0,1.95754471303043,1.76452382469405
5,22.3507379374991,38.1266481848609,0,0,1.22398379655478,2.73871744621622
6,22.4945606806917,74.5184293407132,0,0,0.768883395803571,2.29382200134372
7,27.267869913369,45.3413413388156,0,0,1.13213531176389,1.96269161966812
8,25.2747342258456,38.8809573365965,0,0,1.61597137608569,1.43705077221115
9,14.6067892943205,45.1602534240378,2.65359365335961,4.51773960517175,0.54171603244196,1.08563428048685
10,16.9546127757665,30.0004530105404,3.36440312986661,4.50307805919216,0.377533830895724,1.27656659638319
11,22.3674687808329,38.7828659817544,4.31049201635198,6.62130955789079,0.64076218525832,1.33247431306269
12,20.1467508816452,34.6276477159421,4.81760742249138,4.18148873541242,0.567872641877796,0.6725414728293
14,28.5102388451553,43.7973460036548,6.04174767125584,8.01652273198172,3.08032763668892,9.90178545783644
15,34.6684824120979,90.2076134095193,6.93972376884044,8.75680107917952,2.25584847093826,12.6402551253212
16,24.7380377621759,83.1577579277383,4.41953984984944,6.45687910808988,2.49065338151285,5.69265257272963
17,175.955689137345,75.2043786735215,11.4454273919294,9.71145342789644,8.03902528255937,5.51746773899314
18,50.9945840470522,144.911299228916,7.00675623274538,9.17883812934153,3.76847653856876,5.73099805830883
19,41.8662710300667,50.1805901333163,7.90801255770738,6.94597880660383,3.90264903145278,5.08916813525159
20,47.4544952601357,79.4856816218251,8.13307432895965,20.0590460183673,6.17957724526936,15.597387500627
21,21.2099003379954,46.6784958980901,0,0,2.54919802082875,3.58052572298534
22,21.8760485990314,31.6701337799242,0,0,2.71089528563201,7.12417758353015
23,49.7591459067506,35.2278819095463,0,0,3.79400511931405,4.59511404853765
24,53.5490198420074,31.1382344122746,0,0,3.90332463932487,8.5445592258846
25,25.2088375226874,36.7150845354876,0.67811568030932,0.773746009861076,4.95820153338787,7.98521603095449
26,26.7259763552443,50.0634732132368,1.75133941283139,1.29480008092676,6.75192909862354,13.4883739292076
27,23.2468130753021,39.5686780170385,1.17014851559339,0.894411182879494,5.44178383354574,9.60851098192152
28,28.8088053774042,43.6328689161725,0.764031051898032,1.01460802973309,5.44086680452783,10.1968065357321
30,50.4304524239512,40.5308336016491,0.978898478541736,2.91207883043578,0.830986826838977,2.2792089855952
