patient,Q9UEY8_N,Q9UEY8_C,Q9UEY8.2_N,Q9UEY8.2_C
1,0,0,1.07615039311947,0.999676666648704
2,0,0,1.22584834588046,0.653756684467964
3,0,0,1.36094420523764,0.751915301032332
4,0,0,1.29376451632025,0.911577309902443
5,1.57679477213678,2.08647482407614,1.11905044366374,1.03807068961333
6,1.59049282800943,8.33163994577094,0.948489979481732,1.30308124533216
7,1.97179662142243,1.82354716435832,0.661099412492686,0.342454211367822
8,1.98246539708417,2.97653011248049,1.41898249880692,0.463061724666949
9,1.56521961701041,3.3738127656496,1.98910854567931,0.625348925310045
10,1.24965528972639,2.15461601626675,1.29220002392631,1.63463532320453
11,1.17400997240276,3.0681143891155,0.949804601826375,0.917195039279021
12,1.56320470041517,2.52153541473802,1.58003848147705,1.21501276069705
13,1.45101232496096,2.56183801222999,1.14729048251137,0.808580942332346
14,1.60040881748507,7.19850557768174,1.83630577584153,1.10751988246372
15,2.94507891299422,3.0841455005905,1.73506404365633,0.717654833622636
16,1.69722263357945,2.74363794762241,1.68243649524069,1.34238254881272
17,0,0,1.75083799535161,0.789514254680511
18,0,0,1.56172843110919,0.373743006972588
19,0,0,0.850372572149356,1.81209341166303
20,0,0,1.57392754114061,0.406547459151376
21,0,0,1.22896592382974,0.404817828086311
22,0,0,1.80153755453366,1.56399245372008
23,0,0,1.27722438391699,0.412107062846362
24,0,0,1.22794953425304,0.323810871359509
25,0,0,1.33913825586381,0.94197069550004
26,0,0,1.01408002486116,0.528933225960195
27,0,0,0.650720062391961,0.762150072387225
28,0,0,0.856880969704938,0.715161873970032
29,0,0,1.31357542858233,1.01649811531836
30,0,0,1.3533539705443,0.49133618525181
31,0,0,1.45329612702691,0.693699506105351
32,0,0,0.81145873723152,0.81942016641135
33,0.327187650403751,0.89317100126562,0.52783574372083,1.70337368900952
34,0.438761831761707,2.13982423929125,1.82436959369786,1.05065725555797
35,0.520847965204371,2.33707374463003,1.57357265088571,0.843765069367097
36,0.248470560972566,0.62183015740031,0.367091560585435,1.39431635037888
37,2.54335623485032,3.86495718924116,2.3587585221798,1.35319434867914
38,2.54130536208949,4.59730935172443,1.91508134558381,1.91271591388879
39,2.78471166400732,4.93801589444994,2.54053924335368,1.71201542471359
40,2.69601022971659,7.55725803245592,1.39224686374341,1.81021656531677
41,0.811254101104787,1.11281955138935,2.52682596247678,2.23277321016157
42,0.601510545698025,1.69075326414463,2.13799070793603,2.07845860530802
43,0.523559424171409,3.16926682289923,1.83316605240427,1.652066516816
44,0.518636759290258,1.67381319049213,1.1175561123734,2.58389566253143
45,0,0,0.929161407787182,0.899551242284006
46,0,0,0.525632432252559,0.709762144149155
47,0,0,1.61679941623467,1.6557686045489
48,0,0,0.387003615256812,0.451732399689102
49,2.81149619084312,2.70876800307522,0.91788581800694,1.28112976205843
50,2.46179648517763,1.90502115800373,1.70527576991819,0.664701196282201
51,2.55589281220436,2.5537414567936,3.24520347549081,1.91419555002615
52,1.81391414352671,2.5535511096663,2.05614724627827,2.34396442579694
53,0,0,1.91599854227405,1.42954729510852
54,0,0,1.11236637512148,0.696379980563654
55,0,0,0.945966958211856,0.775421120829284
56,0,0,1.59158163265306,1.64222141237447
57,0.878519536300247,1.13999166941648,1.61676954454224,0.876678189710049
58,0.951633930358486,1.30882122243199,1.83546392421841,0.746610259656184
59,0.984999540195066,1.01256078891708,1.04101409994933,0.703176140267356
60,1.13685417692212,1.17433098382028,1.18685904198247,0.29409547716039
61,0.793462938181526,1.45270398577355,1.64028811069516,1.53070991937504
62,0.752611049178204,2.55504147518973,1.08374232505873,0.959335504092174
63,0.80299564136304,1.58180989551335,1.56383655675226,1.3189932372513
64,0.894317016556565,1.33369599456678,1.25212055158034,0.939795289769227
65,0,0,1.77655466756815,0.811004822599133
66,0,0,2.49061626795269,0.938261223239329
67,0,0,1.90736172662783,0.925065366554509
68,0,0,1.64042320552301,1.36969210372022
69,0,0,1.44470813855927,0.936811480500801
70,0,0,1.65081668900439,1.01541847820165
71,0,0,1.47865276279516,1.24481928235974
72,0,0,0.52815751909603,1.47812755385571
73,2.4370598171985,5.13022593988408,1.82334695195238,0.78893685337917
74,2.80804172609162,6.85280376514723,1.80943240242474,0.538315726560234
75,2.41803117254433,4.93294390195315,0.502612113663481,0.580768299519458
76,2.48706708572816,3.08459469735209,1.20898218091314,0.634149214402726
77,0,0,1.99102612058805,0.912918434035105
78,0,0,2.7813027122783,1.13997558032028
79,0,0,1.96886843721107,1.8661646281645
80,0,0,1.61949410328254,1.04476706025168
81,0.799692526214647,0.442777290387267,1.40583049336892,0.867563639678143
82,1.343710573589,2.40892342398797,1.32337109262251,0.639569777039584
83,1.04394869866734,3.38135940176296,1.21666607588655,0.721668633120484
84,1.01623428165601,1.4249154029327,1.97166280971648,0.609322510241595
85,0,0,1.31383150896036,0.662502875499523
86,0,0,1.86949609033853,1.80076299980253
87,0,0,0.489007957754077,1.06716352584082
88,0,0,0.828687408263931,0.752020992673329
89,0,0,1.28019387627516,0.754899494715474
90,0,0,1.01918610210131,0.887926862455227
91,0,0,1.42603502423453,0.696838110368262
92,0,0,2.10311628899039,0.749318564609489
93,0,0,1.50403662670814,1.23050711215182
94,0,0,1.52926117499039,1.25061161010729
95,0,0,0.750090867787369,1.1109810226121
96,0,0,1.3348740083179,0.716263586481669
97,0.891827833393478,0.787585149939632,0.722045186863644,0.496215495542894
98,0.847552092382951,1.17209532338042,0.901441459754515,0.563338136206288
99,0.802924390863283,1.36865412974423,1.44071241951202,0.863052355300997
100,0.947584615316074,1.21225000779659,0.947399573122246,0.569441172777874
