patient,Q96JN0_N,Q96JN0_C,Q96JN0.3_N,Q96JN0.3_C
1,0.421448938238117,1.42691419982011,0.666376218113521,1.47107317148267
2,0.53892791529247,0.981640262638417,0.84527456625152,0.954292839878689
3,0.683527951110458,1.0674987976827,0.720005542127869,0.999030127622889
4,0.577424203703741,1.16134595146059,0.780208445587081,1.04377511276691
5,0.491456063706243,1.04201541259096,0,0
6,0.329181454144452,1.53342268168673,0,0
7,0.374303456935503,1.87999778797766,0,0
8,0.758004755848034,1.46593648242906,0,0
9,0,0,2.46017189708309,5.11922787981548
10,0,0,3.08234302813845,4.11975495687566
11,0,0,2.42784326316752,4.81778622596192
12,0,0,2.88553231520886,4.51789993307124
13,0.415542031125265,2.22637922006575,1.41160986039635,2.88545749843857
14,0.696241104921157,2.01694464235131,1.31442604716336,3.72151112769498
15,0.847923122483841,1.52291475316961,2.75267168922611,4.86147322952994
16,0.64204228435067,1.41921251191018,1.29045371020502,2.20094383129717
17,0.868962933608781,1.36520908718842,0,0
18,0.543258559571063,0.789526909242886,0,0
19,0.387855597637903,0.663154270419863,0,0
20,0.559685833262956,1.67577680908979,0,0
21,0.502204785644228,2.46250007254493,0.449580083186052,1.2737332730921
22,0.534429825834122,1.28460248277783,0.877911844046085,1.53590886742057
23,0.731617403819926,2.23903846042239,0.435753391891353,1.39009408262794
24,0.583898506735072,2.22559733498929,0.644306539274182,3.73191102015866
25,0,0,0.990176536599773,2.67632587734432
26,0,0,1.58307566319005,5.85139924329586
27,0,0,1.20308386170853,3.37868022773379
28,0,0,1.22478238976838,2.85738206257699
29,0.65150754988752,1.57352711108234,0,0
30,0.536273986200348,2.45706625235344,0,0
31,0.593870537905884,1.9744884472425,0,0
32,0.459817011657954,1.03250848317122,0,0
33,0.591536730623317,1.73151102969852,0.232906195738495,1.02928270496547
34,0.967601500979297,1.94298811947305,0.515020257628579,0.998754929804961
35,1.20691528045036,2.3266827035323,0.547791851183826,1.27649307471767
36,0.475353032275301,1.97865874050756,0.218332817358298,0.941434590069051
37,0,0,0.870965886480782,1.54506855924056
38,0,0,0.481170713154617,1.41923086404247
39,0,0,0.217607651683138,0.776508966522713
40,0,0,0.283050296340729,1.50165924983361
41,0,0,1.46046606294814,2.24700405426922
42,0,0,1.18940283987472,2.97745485720686
43,0,0,0.921418588742994,6.50206646304132
44,0,0,0.534338257864405,2.37787522449471
45,0,0,0.841556324859756,0.870571587405873
46,0,0,0.419004270480619,1.50876838328195
47,0,0,0.715975135189771,1.24472507201698
48,0,0,0.590472911507555,1.31427831404457
49,0.356629887747602,1.12260518847201,0.644383978206965,4.87174465498711
50,0.511821795413706,0.710798593253196,1.27525305790098,2.88866826056204
51,1.03116248175456,1.22360319578892,3.56365248626129,4.00007695162113
52,0.635005840622833,0.942666114184697,1.71005420929179,3.77181190469087
53,0,0,5.70058149957654,7.06671084981973
54,0,0,4.233106510562,8.6579019385192
55,0,0,5.04036650118735,11.9921946720614
56,0,0,5.30911659375339,6.1876068302595
57,0.762058975376436,2.60406879749455,1.56745082983162,2.15379381949131
58,0.784429681399844,1.24269847974775,1.82812647614996,2.20636158113185
59,0.773318996966322,1.41147080031915,1.70888140112425,2.34352388990475
60,0.982275812927478,1.93174011921372,1.94549243590474,2.55189781765524
61,1.09511459347859,1.49176524660487,0.62983910416584,1.78456880709687
62,0.701714068934826,2.61531755324776,0.270776980129298,1.47876095664935
63,0.685233618950694,1.49836764024615,0.419934160948717,1.40296672351565
64,0.619486910116253,1.79710224226043,0.643650762172953,1.60017980142519
65,0.641678191784694,1.08386416176218,2.71155728542631,4.37155271836175
66,0.596114436850766,3.08919936603438,2.77990791193723,8.18862847445164
67,0.944255443725457,1.36722054533157,3.83182868707349,3.19977595308572
68,0.614113810961144,1.34187201566743,2.54219631135604,3.87575599058123
73,0,0,2.58138938700628,1.49057678561565
74,0,0,2.54169435503114,1.69840631635119
75,0,0,0.903888996349946,1.97493880999064
76,0,0,1.14990718299286,1.5347015100878
77,0,0,1.005720891379,0.857593681705805
78,0,0,0.737543560622042,1.90527199547729
79,0,0,0.87198028908221,2.38075569768717
80,0,0,0.658632386320488,1.22478968551973
81,0,0,0.832189151089361,1.26645174705413
82,0,0,0.615101240890612,2.10700900992352
83,0,0,0.776818152793764,3.42200268185621
84,0,0,0.819433142699964,1.30582657002379
85,0.502202577963563,1.84002593357925,0,0
86,0.694907426595537,2.19708632092508,0,0
87,0.178234444293132,0.776903128015963,0,0
88,0.353229559543616,3.62688210879077,0,0
89,0,0,1.23472997975684,4.10073981335474
90,0,0,0.983867569197008,2.70137471758024
91,0,0,1.27656666981104,2.43166151216821
92,0,0,1.28477182816873,1.8889740172914
93,0.490647569112998,0.907278924551935,0,0
94,0.411153070679885,0.854675284158374,0,0
95,0.30157806264755,1.64235857271241,0,0
96,0.536329432800793,0.965528481027394,0,0
