patient,Q9H488_N,Q9H488_C,Q9H488.2_N,Q9H488.2_C
1,9.35771506176237,17.7704055811057,0,0
2,12.3932036663063,14.2635588204574,0,0
3,13.0114408219213,17.2024324914661,0,0
4,10.8200189570105,18.5114646506059,0,0
5,12.8271793020857,20.583459280017,0,0
6,12.2170104681503,21.0888547141286,0,0
7,10.7442818192887,15.690144394348,0,0
8,14.5237713736442,23.1940266140397,0,0
9,14.6603850828585,19.5297516124515,0,0
11,12.5061741341357,21.7705630633702,0,0
12,13.489208904622,26.4074660009493,0,0
13,11.7566729934029,21.8122754640023,0,0
14,14.1785169756419,29.2834545350284,0,0
15,14.109875881875,18.1040563910495,0,0
16,12.8460245563447,16.5870076868305,0,0
17,19.0801835585356,40.4253639429049,0,0
18,13.1161399945482,16.7959270064275,0,0
19,10.8572452383292,19.6335572533329,0,0
20,15.0425744273245,29.6046973069429,0,0
21,9.53152145075164,29.2016351891424,0,0
22,9.74887245465773,12.7790232598485,0,0
23,12.8192724791681,14.8149431334917,0,0
24,10.8610476123661,14.7428401516196,0,0
25,13.6419526411724,25.1430955085195,0,0
26,13.6230307919354,21.9126799502039,0,0
27,10.3980849186733,27.4063306108322,0,0
28,12.086805186693,19.7174820929218,0,0
29,13.5998522833354,23.8623890683935,0,0
30,15.7412031096161,38.024085221845,0,0
31,13.9595145331513,22.513068836286,0,0
32,11.2812460879991,23.6926443395591,0,0
34,8.39144886195244,19.8805096908444,0,0
41,11.9807550026582,14.7194694753311,0,0
43,8.58181223125596,32.3950581866196,0,0
45,9.40596350424983,15.0747551194046,0,0
46,8.31691790231221,19.1804557756287,0,0
47,12.5237798212853,18.8260661493595,0,0
48,8.18743149255032,22.8373663456078,0,0
51,6.08023583310498,6.89226403875493,0,0
52,4.98654251516585,10.5319324929811,0,0
53,17.0532621073103,16.2452350582961,0,0
54,14.6252820301249,34.6251769264464,0,0
55,15.91310508251,19.4583132570102,0,0
56,16.3873307109264,17.5235194554932,0,0
57,9.56780924672472,19.0526375233073,0,0
58,11.1552757749344,13.2573139439389,0,0
59,11.6955481141569,15.8172863136332,0,0
60,13.6767329481582,18.7506799629182,0,0
61,12.7589305925045,15.7007741499632,0,0
62,9.34959143377899,22.3646694821376,0,0
63,10.5095418619523,20.4714709648844,0,0
64,11.8349331558466,24.4080109394503,0,0
65,11.0044913718363,16.2207451656235,0.965492286308341,1.21268652430129
66,13.1593318683842,25.8325468526452,0.968743179442409,1.10323595970271
67,13.6783986439548,21.3250002800569,1.18868964883462,1.25230223733434
68,10.6349270453542,13.068979660189,1.06565349078531,1.05812168066197
69,15.3545132238114,17.8576940834498,0,0
70,15.096023553348,23.3466190214458,0,0
71,11.9050407575463,21.6071612636454,0,0
72,7.55867245666651,16.632165425732,0,0
73,13.7354370397057,17.7448319019641,0,0
74,12.5700626642963,22.8417065922611,0,0
75,7.064816086907,15.7244593567147,0,0
76,11.0810212053255,18.2245951552884,0,0
77,15.1014165037526,18.9271051039942,0,0
78,15.1407515087422,22.3093873589219,0,0
79,12.4802888561201,17.3567123098304,0,0
80,10.4698703686383,15.7066718877881,0,0
81,14.8703797513935,23.2526623206225,0,0
82,13.6409337299292,22.2658338559617,0,0
83,13.0376404773962,29.2953463834682,0,0
84,13.9154269408054,17.4518402008132,0,0
85,6.4828423022546,12.3156743428602,0,0
86,7.36407337269272,11.7505739755579,0,0
87,3.97987177413066,11.5532840650785,0,0
88,5.79316318479841,17.394996546882,0,0
89,7.86028147434732,19.2922040009572,0,0
90,8.70763453751899,25.4900542801396,0,0
91,9.3055939474035,13.4378410914462,0,0
92,11.4686218633801,21.419589137566,0,0
95,5.84440486641008,11.5651416560703,0,0
97,7.00531503897209,8.43412509806071,0,0
98,8.3027410170404,16.2109491604075,0,0
99,8.51132753569501,17.5610708399119,0,0
100,7.61422828650206,11.6995303273187,0,0
