patient,Q9NT68_N,Q9NT68_C,Q9NT68.2_N,Q9NT68.2_C
1,0,0,0.630236513582535,2.14321178774122
2,0,0,0.850966398215645,1.15068097273818
3,0,0,0.928045281058799,1.13209776268183
4,0,0,0.725543415990447,1.22425378169661
9,0.846874090744242,1.13651902076861,0.802496521832664,2.0995258407114
10,0.875189780206597,0.969537260352933,0.980143147084599,1.17250122992229
11,0.706285741077055,1.06237477264297,0.797331729879089,1.82351188219549
12,1.07569282703215,1.0995765195172,0.825033635509223,1.71504243452317
13,0,0,0.345278030356019,1.81875358466811
14,0,0,0.791567461705253,2.3036021542981
15,0,0,0.864981464642932,1.74868573826677
16,0,0,0.913811289081626,1.46308176540533
17,0,0,1.95180027706715,2.70467148333548
18,0,0,1.77736650078901,2.95479087164572
19,0,0,1.07512278037242,2.62950690162128
20,0,0,1.45901821292386,3.2470710484138
21,0,0,0.546982104341406,2.3535828561875
22,0,0,0.49832564437448,1.19703598498956
23,0,0,0.753784474096734,1.5417181884846
24,0,0,0.50653768417498,2.19717172118461
25,0,0,0.715284201527452,1.67007844302779
26,0,0,0.758103942855807,1.74645102904296
27,0,0,0.609464590436563,1.94424500672894
28,0,0,0.659544235656347,1.33236768374336
29,0,0,1.11377438503465,2.27990277995466
30,0,0,0.857450335877155,2.71509714278146
31,0,0,0.836474294304768,1.84909038329511
32,0,0,0.78565452446285,1.92219747325014
37,1.22987311740228,3.56732350554452,0,0
38,1.6257061334456,3.56980669684263,0,0
39,0.755108497236789,2.37244915961192,0,0
40,0.556017043084982,3.19853091978711,0,0
41,0.56096474977737,1.41778306455282,0.933843273176368,1.25127285765507
42,0.276484467931593,1.99140682383989,0.75663200669296,1.38498067806064
43,0.20887658196993,1.96290373952666,0.693130154177124,1.45490617903669
44,0.161972270431544,1.54229961714215,0.53886219672523,2.02665232460858
57,0,0,0.774523521403721,1.90699843694852
58,0,0,0.916696919275954,2.04163515353199
59,0,0,0.779508899309232,1.99872686935915
60,0,0,0.926547925175213,1.94396964654868
69,0.640590376504449,1.29314165351233,0,0
70,0.577964123937902,1.31335368313075,0,0
71,0.387588947371042,1.43486653952193,0,0
72,0.227283667212758,0.894325460650696,0,0
73,0,0,1.03059652212195,1.33397534668721
74,0,0,0.957194742303701,2.61179155791747
75,0,0,0.214735909772229,1.78818538201105
76,0,0,0.613911512216597,2.26244719767722
77,0,0,1.98721428403365,3.90432027416988
78,0,0,2.20298128542121,4.79732146366437
79,0,0,1.60045256015326,2.90843687842193
80,0,0,1.62086359190983,2.69559099338861
85,0,0,0.492419300701072,2.02541465855188
86,0,0,0.860719691452239,2.18337122627469
87,0,0,0.208345102310942,1.00837233456406
88,0,0,0.514252601313481,1.89395253988258
93,0,0,0.691097021351575,1.21091110094324
94,0,0,0.614449613636816,1.50573647728855
95,0,0,0.462726396889769,1.02087696911652
96,0,0,0.721511576685774,1.96182691952448
97,0,0,1.94316499354669,3.87799979300863
98,0,0,2.26637509258007,5.22901124059879
99,0,0,2.15389518393661,5.10982755524025
100,0,0,2.17922846157246,4.63409775050267
