patient,Q9UKR0_N,Q9UKR0_C,Q9UKR0.3_N,Q9UKR0.3_C
1,0.182298324759744,0.36940539367694,0,0
2,0.529637197023804,0.803081971955773,0,0
3,0.289281355380568,0.761826581443075,0,0
4,0.205130592798185,2.52323909918543,0,0
7,0.401830954173927,3.14397533076454,1.01229881332654,21.7070197367406
8,0.356823341230274,0.599042473079862,1.84826834148625,1.39092583162302
9,0.363022274167527,1.53009031256726,0,0
10,0.306371520986793,0.290256956455487,0,0
11,0.319692978115422,3.22844256771086,0,0
12,0.498524114507978,1.36460105534846,0,0
22,0,0,1.433256147924,1.52530452505125
23,0,0,1.28956184845021,16.2164274399418
24,0,0,1.53019046392122,2.19153654313025
25,0.33890715970517,1.13248200447337,0,0
26,0.767578383905971,1.26631275288949,0,0
27,0.255606966336109,1.24036258277101,0,0
28,0.368463799586329,4.8158364842601,0,0
29,0.484946818099874,1.4551763139893,0.617026814175886,0.822328895555972
30,0.601448147956071,7.06846351600643,0.682415150946934,5.85649353084568
31,0.483129224485159,0.707671183485581,0.501689855615976,1.75950496906057
32,0.450229792236208,1.00673695024584,0.275064691543221,1.26910931933246
33,0.389599685256221,1.56487656142422,0,0
34,0.539306580112128,0.736398150880299,0,0
35,0.780203599881971,0.732243532998918,0,0
36,0.209489524933609,0.787590242942854,0,0
37,0.147359871490583,0.835536824626159,0,0
38,0.248028589735491,0.553717658312953,0,0
39,0.255748179299515,0.583621366495501,0,0
40,0.201561245025224,5.14062937126046,0,0
49,0.406464787600605,1.7395168465827,0,0
50,0.312676013040568,0.581260350921453,0,0
51,0.678850589295415,1.40658814149454,0,0
52,0.332109310410513,0.834746260373839,0,0
53,1.31852704042501,0.438769945937857,0,0
54,2.13429485380773,10.7053800250669,0,0
55,1.02238247563462,1.57566829414296,0,0
56,0.552238247563462,0.589151093402174,0,0
65,0,0,1.11245797832147,1.15776488052513
66,0,0,1.05316619840069,2.37854926415722
67,0,0,1.38341597005201,0.983770285171612
68,0,0,0.837172798821263,0.572730040590062
73,0,0,0.252755353479117,0.240589527079274
74,0,0,0.59794933655006,0.53855535966513
75,0,0,0.280735723196519,14.2292742775252
76,0,0,0.237919231284732,0.823381068736919
84,0.478976336851873,3.18274562115764,1.53508518055445,2.78713248004922
93,0.399802657311161,0.492005546929632,0,0
94,0.348540967868106,0.798260065662372,0,0
95,0.24847548328217,1.11006151402733,0,0
96,0.411884711571512,2.30102760427161,0,0
