patient,Q9UFB7_N,Q9UFB7_C,Q9UFB7.2_N,Q9UFB7.2_C
13,0.713730660105057,3.64617664760142,1.00957259054635,0.957331952117864
14,0.702174829784359,0.91628829596027,1.12369551872314,2.18847836095764
15,1.16484816723917,3.05473103267567,1.48731008287293,2.04147483118478
16,0.59989600776257,0.886513353176472,1.3634131368938,2.15694060773481
25,0,0,1.07843994971536,0.663101090522572
26,0,0,1.19202600083808,1.06867532679906
27,0,0,0.992287644491686,1.2338276626841
28,0,0,1.01379148227262,1.83910754985027
33,0.548360537584263,1.45168948997329,0.613102286883103,0.677825538655553
34,0.958417772501802,1.24126849535761,0.766394198975747,1.27304569152454
35,1.10275999491245,0.963089837622419,0.871003337280654,1.83415868231241
36,0.38414635180396,1.17781828973587,0.660823862325639,1.38738600187626
45,0,0,0.918507350077285,0.795679854590706
46,0,0,0.639275452138149,1.78597936932148
47,0,0,1.23581977674186,1.86668201760295
48,0,0,0.730769890281633,2.06895918202373
61,0.485346771260845,0.753589277365058,0,0
62,0.728166658008208,1.7700680554834,0,0
63,0.89210868097044,2.3494415294301,0,0
64,0.785543145098447,1.58361888929295,0,0
81,0,0,1.15105110829968,0.889041784371155
82,0,0,1.10251815393147,2.03417965026603
83,0,0,1.57701253011213,2.55969220637424
84,0,0,1.22846397809397,2.96534895409092
89,0.662869163649593,1.36112170591307,0,0
90,0.585986597738515,1.34044912832489,0,0
91,0.68746589288753,1.41393858665994,0,0
92,0.853772173290537,1.33618610600931,0,0
