patient,Q96DI7_N,Q96DI7_C,Q96DI7.2_N,Q96DI7.2_C
1,2.46511421316048,3.51537424298471,0,0
2,3.3037385884021,3.537976330945,0,0
3,2.82278511682006,2.91284632167389,0,0
4,2.42901565393112,2.94352264461967,0,0
5,0.733623683775291,1.63146626973189,0,0
6,0.586138522888068,1.51618979363067,0,0
7,0.659961960416782,0.668831431354172,0,0
8,1.03136887369756,0.719468180899351,0,0
9,2.91881345629645,2.54631021243268,0,0
10,3.19542987677698,4.71129946827282,0,0
11,2.49892291929722,3.36302545986771,0,0
12,2.80624609888715,3.36494940550474,0,0
13,0.704214758137725,1.39306618250983,0,0
14,0.782483897462499,1.2679029957204,0,0
15,1.16042882462283,0.46903989971037,0,0
16,0.768516837418407,0.655137682099166,0,0
17,3.44051042069727,3.2149345794877,0,0
18,2.56529981569825,4.09019724679292,0,0
19,2.34018093678723,2.71825350530225,0,0
20,2.65338416279385,3.53709215802227,0,0
21,2.46002522931809,3.573568405525,0,0
22,2.87723329255105,3.94584808195511,0,0
23,2.83076097124827,2.92649268102373,0,0
24,2.49199619721518,5.07314657101468,0,0
25,3.18916249729337,6.02016255479324,0.559843845522622,2.7895133374981
26,3.44877579564569,4.25596442231481,1.04167880422964,3.99461105971495
27,2.6591484987272,6.10492950816004,0.865395282643584,3.80614188240964
28,2.88337340743143,6.34485727693459,1.0949026657862,3.86082483495245
29,1.61759851505076,2.47935424855152,0,0
30,1.47351654947732,3.23703096078624,0,0
31,1.52238052175695,2.87603270873037,0,0
32,1.56551169169511,2.31815336817182,0,0
33,1.51835746124183,4.39771542915614,0,0
34,2.14531582552688,4.40384404876634,0,0
35,1.85787584744575,4.20268920325109,0,0
36,1.20020089030827,3.58613173543627,0,0
37,1.14541271661508,1.29836881193956,0,0
38,1.04790205900034,2.56837435341767,0,0
39,0.948912054644017,2.99336537764301,0,0
40,0.924161886665169,1.54992481651056,0,0
41,2.82978485816915,3.23593818784523,0,0
42,2.71101674203311,3.80759158622423,0,0
43,2.0554388200474,5.22117977079947,0,0
44,2.18880215817761,2.8458769617334,0,0
45,1.75418973684811,1.74245974610914,0,0
46,1.20991972436664,3.04180624531867,0,0
47,1.88987458179475,1.97060733530983,0,0
48,1.31371052155774,2.4089803883395,0,0
49,1.42861019276303,3.19453560698538,0,0
50,1.63879819163157,2.15621270489025,0,0
51,2.37060426169698,3.97589605992264,0,0
52,1.70768162717957,4.67693956662303,0,0
53,0,0,0.64366909244684,2.31810751276533
54,0,0,0.49733458724919,3.03516855280017
55,0,0,0.621980976665804,1.88130297847094
56,0,0,0.592776308564287,1.01880873785795
57,1.90128713968428,1.33354507933708,0,0
58,1.85817689468655,1.96987930186211,0,0
59,1.96778634279883,2.49527387869859,0,0
60,1.92371733284096,2.35969896434166,0,0
61,3.1390758239764,5.27234814512226,0,0
62,3.02856713959241,6.72331691203618,0,0
63,3.0227541283008,6.38421473902797,0,0
64,3.49247567503323,5.32221102134489,0,0
65,3.05003759941925,2.21187041420172,0,0
66,3.49679708181392,5.08423712120983,0,0
67,3.58296441113595,4.21809284079164,0,0
68,2.56093187168732,4.0059338168195,0,0
69,3.95025523738312,3.49714659899878,0,0
70,4.61249311604058,4.90092632384153,0,0
71,3.65289908368104,5.74648349715486,0,0
72,2.67430292036685,4.20394916489752,0,0
73,4.66959269101949,4.87361609010875,0.939839948183437,1.44257991937752
74,3.95400768802886,5.68240957468702,1.06217135259978,1.21659834493808
75,4.21837481564176,4.39072765311039,0.303858970316269,1.72800565891407
76,3.92714344278906,5.14233736486758,0.67802739118948,1.26353153736673
77,3.55284946219119,5.07057877876606,0,0
78,3.42124707240165,5.51918853410431,0,0
79,2.81101566169201,5.23245174803999,0,0
80,2.91635711177029,3.35331884011521,0,0
81,2.26102757574063,2.14091969856429,0,0
82,2.2611286297612,2.71625253404972,0,0
83,2.11540613717647,2.89886925872525,0,0
84,1.94372696621495,2.09699734006788,0,0
85,2.22684682150174,4.81225333714102,0.374711661812437,1.15760266202599
86,2.80665133694349,5.55194849221083,0.689349018324905,1.90393321307567
87,1.40206908111065,2.66651857164616,0.103527911439472,0.951359259915577
88,1.60281166777593,7.030920445806,0.389440953337302,2.16383515915965
89,2.35306597385163,2.82376116553722,0,0
90,2.57643936632315,3.06213274340596,0,0
91,2.19364108149327,2.74861875360479,0,0
92,2.61430802285949,4.42979329011975,0,0
93,0.683388535848779,1.15615918750764,0,0
94,0.653811942507045,1.1066681234272,0,0
95,0.830592208785454,1.32628546251949,0,0
96,0.892877034763928,1.15267840071445,0,0
97,2.44877156532269,3.23035824203641,0.418235847282302,1.05951100244499
98,1.78280305788063,3.53016713234733,0.502631182997931,1.38406620274591
99,2.22297704683358,5.7989002433354,0.448113597893549,1.33790671431258
100,2.33226948196259,4.74093718761511,0.546003385367689,1.91357908595072
