patient,Q92802_N,Q92802_C,Q92802.3_N,Q92802.3_C
1,0,0,0.573730132096769,2.13069038103664
2,0,0,0.897330608011227,0.954510509777602
3,0,0,0.706308917294609,0.920436865066048
4,0,0,0.660825528539614,0.864730467677476
5,0.411859550656203,1.22136987682535,0,0
6,0.368289670470013,0.712247727234536,0,0
7,0.349145507402242,0.530846594632745,0,0
8,0.700342805289956,1.69613839923373,0,0
13,0,0,1.23002344158948,0.861125651471358
14,0,0,1.12060356403195,0.945934135961219
15,0,0,0.886902296365416,1.82675527435763
16,0,0,0.789376180614033,2.51124058353627
17,1.09476262987588,1.13271461107793,1.22517812186333,0.907857930330904
18,0.918833726051314,1.4133827129702,0.783567538215984,1.28629490069603
19,0.54582493748236,0.970373858765925,0.743323515376894,0.848909055007981
20,1.0242341999383,1.01945266709111,0.968592137956,1.64798101130436
25,0.800153359532253,0.928436782553527,0,0
26,0.662166294678516,1.08979748326053,0,0
27,0.588366584053347,1.72805612228597,0,0
28,0.637546612625689,1.165290538721,0,0
37,1.23107022544701,1.18966053381705,0.982599671944565,1.2720717704951
38,0.780355878034033,1.24792260516541,0.831908412278646,1.1991028688113
39,1.19765915176643,1.45250064783623,0.658497640009373,0.580603889800154
40,0.373321240390429,0.942031614407878,1.53723429183544,1.74313259465069
45,0,0,0.861711172691775,0.71245788197506
46,0,0,0.675362529915607,1.80908725910064
47,0,0,1.1953725280262,1.03129723516816
48,0,0,0.736087274845699,1.52819939538985
49,0.591140075568235,1.95560974568724,0.439563740906515,0.963321836151854
50,0.756837749719395,1.34862656313581,0.69644398641634,0.743629331883193
51,2.40884216542307,2.09744264228409,1.26241714613843,1.40638416811491
52,2.00515060263138,2.05424625028134,1.18208645322726,1.89691705677225
53,1.00151920049786,1.14136801259289,0,0
54,0.540023611670388,1.00064977852619,0,0
55,0.63966211516638,1.48519237105099,0,0
56,0.817675806274481,0.845043379580481,0,0
57,1.20423032601019,1.15111891751236,0,0
58,1.30503512880562,4.65097022415524,0,0
59,1.14697409018252,2.17661982825917,0,0
60,1.21725028809338,1.07622393219583,0,0
61,0.717039590956,1.47473183850893,1.64510322977902,2.8519574976449
62,0.524742783875911,2.23753791787848,1.0843679116692,0.903475025392999
63,0.688105513337711,2.79149857710229,1.2892065279744,0.663138837868988
64,0.926251680895644,0.918027019420208,1.34869719440249,1.11449742912327
65,0,0,0.807667668654216,1.51810969299759
66,0,0,0.823803158724683,2.42271349726507
67,0,0,0.995993076430296,2.33038178189523
68,0,0,0.627423865372296,0.703272064258611
77,0.992493494048346,0.715543822399263,0,0
78,0.723041872962486,1.16190189870445,0,0
79,1.52934489529411,2.11145141439859,0,0
80,0.415869824597664,1.14838267209064,0,0
81,1.00987113786756,1.2081894621623,0,0
82,0.669878103388228,1.41069704960446,0,0
83,0.596768993482263,1.51328921836907,0,0
84,0.969534802726504,1.05703766356535,0,0
85,0.777292527815304,1.14097910426165,0,0
86,1.41655269707927,2.16205988377189,0,0
87,0.219291862780153,1.16632278691467,0,0
88,0.698368994336071,1.5542483641944,0,0
