patient,Q9H115_N,Q9H115_C,Q9H115.3_N,Q9H115.3_C
1,0.927932529236894,0.854251627182127,0,0
2,1.10073992587645,0.912162286043557,0,0
3,1.1632761036682,0.967128956639034,0,0
4,0.965630770439634,0.873678282848125,0,0
5,0.834301155122894,0.7904181169081,0,0
6,0.655113946476025,3.04400382953213,0,0
7,1.48461923892523,0.912046025965659,0,0
8,1.31516691570556,1.33402825622075,0,0
13,3.16228342008931,3.2861159155979,0,0
14,4.06147748522722,5.99233497902826,0,0
15,5.03347889192441,3.86271029979247,0,0
16,3.42730958644172,3.51345016318572,0,0
17,2.48541680103681,2.09453296869165,0,0
18,2.67234041228771,1.7056853672687,0,0
19,3.21959013089066,1.63871827743981,0,0
20,2.29804409315439,1.81557556774183,0,0
21,1.51021192941703,3.02671385801004,0,0
22,1.1088546551095,0.79210434414104,0,0
23,1.28729953815789,2.24179808435583,0,0
24,0.963441096492433,0.943054514634156,0,0
25,1.0692184594092,0.687222870983089,0,0
26,1.83554344535271,0.788756541672073,0,0
27,1.31239998269971,0.859603823364041,0,0
28,1.46886380346871,1.08701180744777,0,0
29,1.08693490566861,0.875820984046961,0,0
30,1.21430627393174,1.89413775959668,0,0
31,0.855421329449014,0.826476462943419,0,0
32,0.924752941586931,0.694184859876667,0,0
41,1.25030240193537,1.34711772425614,0,0
42,0.842421737445066,1.08385523937623,0,0
43,0.848665928759241,1.42019858116281,0,0
44,0.649295485220835,1.35807424843195,0,0
49,1.60627138184871,1.91611485418919,0,0
50,1.84977792418825,3.38439800842082,0,0
51,2.09539501033789,1.85889793566957,0,0
52,1.67982512888224,1.56748142504592,0,0
53,1.91537248248563,2.30458765203548,0,0
54,1.68542911052018,2.15016755671956,0,0
55,1.66818215725541,2.66706805732618,0,0
56,1.65462909888755,2.21170352541155,0,0
57,2.91076759609282,4.49917618794353,0,0
58,3.15313409102938,4.2844414886923,0,0
59,2.74187318620126,4.34649403184662,0,0
60,3.44050864784621,12.8937386197128,0,0
61,1.64369416796811,2.18769018828677,0,0
62,1.62874089399908,9.66558730722267,0,0
63,1.67436481069948,2.01978780175925,0,0
64,2.19833067826344,3.0973364112533,0,0
65,3.97644820676915,4.6964663498887,0,0
66,4.10360574070342,4.25509891494306,0,0
67,5.61177711773741,4.70194924627181,0,0
68,3.40952992557519,3.3146754011355,0,0
69,0.858104917723163,0.873728073281866,0,0
70,0.956961069008664,1.02787024576811,0,0
71,0.859114196000661,1.04434922208844,0,0
72,0.676977831291168,0.952274712562268,0,0
73,1.16343892022746,0.996501244661658,1.06923040587617,0.860998334927552
74,1.16735560782881,1.13623564071528,0.999407186972284,0.944566077396346
75,1.14752095370772,1.09461712380387,0.867338600158241,0.786733741925579
76,0.998973439605362,1.00722360517962,0.964973252559606,0.776012328621533
81,0.89797217682162,0.89192101562203,0,0
82,1.5909289596716,1.25995856931088,0,0
83,1.10942073054848,4.0518928883652,0,0
84,1.16467748679159,1.15272340263788,0,0
85,2.80712017601539,3.60440890706291,0,0
86,2.77528861902641,4.1194089377825,0,0
87,1.73190147951664,2.96637129856938,0,0
88,2.51911775952136,4.53898117122529,0,0
89,1.56624403726462,2.84165668720533,0,0
90,1.73056716059307,2.71238677223786,0,0
91,1.64926299747756,2.36157103108999,0,0
92,1.84224408423924,2.79450211091276,0,0
93,2.38099759162726,1.75403108939967,0,0
94,2.16153620917115,2.03176803434044,0,0
95,2.41164775324748,1.78959101160046,0,0
96,2.1642279366496,2.05701016477762,0,0
97,1.02689243360336,1.01117820033979,0,0
98,0.98238323637104,1.46806919870094,0,0
99,0.926258590592154,2.53676389598166,0,0
100,0.861475762764477,1.19281978364558,0,0
