patient,Q9NYL2_N,Q9NYL2_C,Q9NYL2.2_N,Q9NYL2.2_C
1,4.01119232312942,6.03343603586705,4.97766918757102,5.22623714149528
2,4.13508770408712,3.54903918882161,5.33757019274909,4.07255536639131
3,4.9692410791988,5.25786313375491,6.26650631934526,4.69345587667932
4,3.69112629513716,4.36805990779649,5.60145603307742,3.49754074716753
7,5.74996993455523,8.36403427911215,3.7989992473641,3.06435485742925
8,7.52317644564342,7.57478845458523,5.60782950141716,3.5773063108612
9,8.29558557975004,8.9000040154494,4.72748482383186,2.99220657089573
10,7.20684727014577,8.74627709090333,4.45176105638817,3.55142844588565
11,6.49984348942258,8.62614967056245,3.14645312761853,2.30996626930418
12,7.37686788778595,10.2145826785075,4.14880756622206,3.27259706998973
13,12.3791848129082,19.5484481388588,1.56261660023676,1.63717062979335
14,15.2230450830167,23.9740768528582,2.08303648588588,2.1159017658432
15,17.4804403441756,15.3591388658326,2.24249025811788,4.32560724616147
16,13.4654010813834,21.0173790319702,2.02569248759411,1.92379645969735
17,9.22987073766446,9.55008684139413,4.48698550129053,2.90501705195897
18,6.24090695082935,5.65637678494586,4.23969720865747,2.41994680983688
19,5.40925885360475,7.14285056478079,3.19939033085366,3.62824858576282
20,6.92263298712724,6.66427408602781,3.63824476607892,2.10204534854419
21,10.3414696881041,18.3267409638672,4.364930004549,3.14393744075406
22,11.7052595082804,15.2296291723568,4.51490757983302,4.61009997128784
23,15.3834193060723,17.2200330083318,4.69445155236172,3.24706197822076
24,12.5678940895574,10.7744756096243,4.02465074879329,3.0257292602033
25,8.40745231921033,9.81211426938874,2.17464297720729,2.41472764293888
26,8.34674943973591,11.0846303590311,1.74453407618714,2.15534232564148
27,6.21549446127072,12.0473257582374,1.5964077858878,1.89772087102665
28,7.72956079292667,12.075133806876,1.80720116221437,1.73310947398265
29,6.77608375688241,11.2086710977784,1.30354871362186,1.15857248875553
30,6.86713883368668,7.20441916654655,1.12010268902743,0.66753912896965
31,5.06583939595159,10.0911694672881,0.996231477325198,0.508292679162385
32,4.04685781708774,5.17706535444754,1.76301265734868,0.608503227681793
33,2.92147358957633,8.94209624701827,2.7012210856365,4.12978919080391
34,4.69832780424224,5.16454018301141,4.33106894975985,3.24294689707794
35,4.3919765513934,7.22880351396074,4.68388605448461,5.60209204337246
36,2.13007434661734,6.46566610828585,2.19433121177409,4.37248216958324
39,4.74646423727713,5.29573350052821,5.13108862230578,4.63630904227834
40,4.02674038299645,9.81143380970403,3.06882346203071,5.46545211961937
41,6.22102848899315,7.83985136568522,5.08144378127137,4.51540854636112
42,3.0479950121272,7.09527515487282,4.63562467072466,3.70741088303837
43,3.44069376884784,5.48698280681628,3.97186640241796,3.54702053047437
44,2.04247581269023,5.71116374030855,3.41510817477387,4.65061335772741
45,6.19567638632209,7.87098290593714,3.57558192635986,3.07764838142383
46,4.59302285489622,19.4077632961579,1.95020249654184,3.11387308637305
47,8.19593095439636,10.7127834085536,4.34834879318326,4.29663538618805
48,3.80659653629739,7.93645875215417,2.29579601651636,3.26870900611409
51,6.95962446078177,6.73545908507742,2.74224974656206,1.89800694184995
52,4.46257275131687,5.69723956348209,2.1156211257976,2.13619789641406
53,10.5805383928945,15.2609979422028,2.21656634577826,1.89185738568588
54,7.92571773662638,10.9514177686856,1.58660309512651,2.4327606249661
55,8.79180759603574,11.6587500896195,1.73201754109181,2.53235186633761
56,8.67540885689477,7.64008138027823,1.63329848816641,1.64053495805289
57,7.11932191412018,10.6749071025959,4.04865043401745,3.31001716417099
58,7.55385299371431,7.61526392222161,3.83692129239658,2.64554404674566
59,6.83500725463847,9.00574227938385,3.65615577361631,3.5980952858187
60,7.28063634261472,5.51308406516202,3.63706098502178,2.01136092796228
61,8.54998508097791,16.4885187950408,2.86351542322982,3.61213548188518
62,4.64157027622809,10.4130831654306,3.41540409969014,7.63106145034585
63,5.5345418760983,13.5614410467527,3.60601249373433,5.66632855807819
64,6.37041786023264,11.3291618006722,3.93907677945134,8.31961838130015
65,9.59455819821091,22.2990222713514,2.19169978616418,6.56873003347849
66,9.79415171736927,12.7799097822367,2.13998130544941,2.40565512478871
67,10.3648559347095,14.3012037112673,2.40478679572311,6.14101608859831
68,7.9056340612525,10.8926425719526,1.6219505814787,1.55395841933645
69,12.4011277015875,11.0269661699117,3.81684987620788,2.84559208668806
70,9.56087346600618,10.56486042073,4.41786002953853,2.91602503538266
71,8.39756537116214,9.52169744031708,4.40675386491024,3.12752291213156
72,7.03760139074665,13.8573551806315,2.00684815608822,3.98600785143673
73,9.09586845376197,11.6206724961336,3.87501312475261,3.95140277301594
74,7.61179323948678,12.4776574556091,4.0799809965551,3.35039335477843
75,4.42991433734645,11.4563140232286,2.59846197790896,3.66014831942443
76,6.68842756386209,11.1442909282201,4.21951205129885,2.82238661967274
77,7.43247394050538,7.18185287936255,5.60519621585537,3.73858356617452
78,6.05647611592331,6.34340397839189,6.28799757885335,3.35019250698541
79,5.02480910680419,6.18848079556986,5.59809193554967,4.74675319093895
80,4.77874205790623,6.86181065412749,5.67432085840203,3.91436941052478
81,9.69277498015476,10.7898881391994,3.46174274865042,3.56260600655635
