patient,Q96FH0_N,Q96FH0_C,Q96FH0.2_N,Q96FH0.2_C
51,1.19863611767021,2.07418954151909,0,0
53,1.09741394685215,0.88278937042982,0,0
54,0.760727661851257,0.91840556447298,0,0
55,0.68431297612678,1.27816759662667,0,0
56,0.878794364187623,0.872302479044052,0,0
57,1.21994119016804,1.83657798259532,0,0
58,1.05734229380006,1.62685540687631,0,0
59,0.856010137385399,1.12649529142275,0,0
60,1.08573996956618,1.08597824144523,0,0
61,0,0,1.27861025980626,1.14329128999636
62,0,0,0.82372702118594,2.20723925687504
63,0,0,1.59401228959081,2.23527841518694
64,0,0,1.09280848464314,1.69279103075478
65,1.05357107981954,1.16818350487276,0,0
66,1.01317305626623,1.18703005683261,0,0
67,1.2951194265961,1.11051110286507,0,0
68,0.879916215846728,1.51527254262446,0,0
81,1.00710141913422,1.24043346351731,0,0
82,0.949011915125761,2.08954163187372,0,0
83,0.919368846351208,2.31396528822147,0,0
84,0.869561718595685,1.23923160450269,0,0
89,0.482418257606231,0.970297058879867,0,0
90,0.475045197565299,0.890879006080859,0,0
91,0.758314215536764,0.698740361904678,0,0
92,0.691654621349753,0.826945263427766,0,0
