patient,O94929_N,O94929_C,O94929.2_N,O94929.2_C,O94929.3_N,O94929.3_C
1,2.2286077652545,0.857920541153268,0,0,1.37793703007519,0.611295817669173
2,1.40230764268402,1.26757227511082,0,0,1.35430372807018,0.734277098997494
3,1.63027030015943,1.40237215346192,0,0,1.94721177944862,0.885132753759398
4,1.66036918596614,0.635210904164632,0,0,1.43554197994987,0.481205944548872
5,3.84130831973241,1.72463961185691,0.963061360637382,0.760770218681212,1.62818118197067,0.41019374721297
6,2.09011393514762,3.15535179302932,0.762944981441045,1.21601271942328,1.19514052980952,0.960642766574995
7,2.45962335013165,1.54221527842022,0.947173837016225,0.71901183482383,0.944413323155879,0.594167112327045
8,4.92254139599004,1.81656701906075,1.3216268400991,0.853118286522055,1.66769552059744,0.766655928499677
9,6.94911335898866,3.97312041660858,1.16088476662019,0.535091435935418,3.69877490733689,0.81107021933461
10,6.7162492462691,5.16668988908467,1.17330953295424,0.828279604564478,2.62345093523992,2.15002549275756
11,3.72425580153985,2.54937045091848,1.05355635550459,0.873105608312818,1.99542279453145,1.10362184307897
12,5.95304755300495,3.29223077012847,1.69422528995707,1.21375330290788,3.18218849166252,1.58156880264537
13,3.78822009859545,1.37610628024648,0,0,0,0
14,5.00123765494649,2.17829583002553,0,0,0,0
15,4.37089250297803,1.41762128984815,0,0,0,0
16,3.47555029187424,4.00133516644715,0,0,0,0
17,6.17180458240057,3.77920854588424,1.6947998973538,0.888090742308237,1.89340629907839,0.717343466562778
18,7.00480094994573,2.54543491774294,1.54128637141839,0.535686791195407,2.03371723541801,0.403701347715458
19,5.66220637013977,3.11548899167185,0.926550513039515,0.766947156355447,1.00325058741889,0.835171173255092
20,5.01422000362086,2.64895196095998,1.02751148067149,0.8080362785389,1.17600348190263,0.380120892633219
21,3.19981368231058,1.99514916781228,0,0,0,0
22,3.633368861213,3.30732440168006,0,0,0,0
23,2.62857864070112,1.54901337250029,0,0,0,0
24,2.72243068070525,0.587414039149949,0,0,0,0
25,5.09563738871456,2.58752866628863,0,0,0,0
26,4.99923400373113,2.07394609654449,0,0,0,0
27,3.60896396806287,2.29153003849217,0,0,0,0
28,4.52072146691824,2.0810106213399,0,0,0,0
29,5.30385327487253,2.64798567359699,0,0,0,0
30,4.36199538172825,2.38994998335554,0,0,0,0
31,3.04472401640585,1.27772176798579,0,0,0,0
32,5.12814758533095,1.37073871935977,0,0,0,0
33,3.95100739909538,2.68686998647735,0,0,0.702356455028569,0.682692691892756
34,5.3866332715246,2.05797055089906,0,0,2.13477943820674,0.284872337875095
35,3.25458240278372,2.11145481660984,0,0,1.77431124385663,0.326140268510009
36,4.24338477474974,3.10577071067799,0,0,0.321577696088225,1.09448795301075
37,5.71148109456533,2.68668410136551,0,0,1.32770587708897,0.378288664175932
38,4.4081968807936,3.09326636485405,0,0,0.968332624890937,0.701005615338151
39,5.37678728769253,3.39940568228066,0,0,1.30569196178885,0.439719009373812
40,4.22435005354882,3.57141611076026,0,0,0.47717510458847,0.767464037226784
41,3.05089605065903,2.30138881399578,0,0,1.72160450281049,0.922292878499933
42,2.91707051678874,1.43909815361412,0,0,1.06379902040775,0.383622583341911
43,2.61016241432465,2.22572915171616,0,0,1.17369310293752,0.566777713899816
44,3.16405486899495,1.54450735369872,0,0,0.61437279234,0.501093317333159
45,7.52733121811442,5.00170621518952,0,0,0,0
46,6.4533161668752,3.85424033406647,0,0,0,0
47,9.24453255804943,8.97579893385058,0,0,0,0
48,7.88671845089294,6.17309958015184,0,0,0,0
49,1.42327917040908,0.881832285457663,0,0,0,0
50,1.68909120600964,0.830611578345717,0,0,0,0
51,1.27743120764269,0.887507144606842,0,0,0,0
52,1.19658691924553,0.425887156038213,0,0,0,0
53,4.24956414973106,3.00335935936885,0,0,1.87668611762116,0.969012703565953
54,4.50818767326874,1.385663524745,0,0,1.21527779514718,0.660853057334877
55,3.46664412165199,2.76415913472682,0,0,1.20011055278896,0.581422629305493
56,3.73984504760687,3.00075246091235,0,0,1.86736166519513,0.739017881038196
57,7.53513071364551,5.06219408032826,0,0,1.81677081937998,0.565096416486608
58,8.21493073377699,4.25168912527207,0,0,1.93955551155192,0.496820090505116
59,5.98640751362563,3.83422018388623,0,0,1.29705508931119,0.589490282639208
60,6.70738713325596,3.0226234429788,0,0,1.7219413755147,0.47398997105467
61,0,0,0,0,1.48848648806292,1.18752282773686
62,0,0,0,0,1.14810427363009,0.502619895093095
63,0,0,0,0,1.08456157552006,0.474186429873887
64,0,0,0,0,1.25293757386465,0.415883521950041
65,3.68073556092861,0.978664728335658,0,0,1.4168250662245,0.464585060562554
66,4.14201823886058,1.16203748341271,0,0,1.62303095868805,0.771340970214143
67,2.6842553524673,1.39125114155313,0,0,1.61506885325461,0.704277293591895
68,2.56940321355994,2.199472927156,0,0,1.4514033526783,0.59102582249813
73,1.80690009077719,1.96792122535892,0,0,1.52119277359064,0.859296241179012
74,2.95016025067547,0.796543313067263,0,0,1.66314627238251,0.713948762261373
75,2.87750766331426,1.41741097080585,0,0,0.575840494135343,0.709613876754197
76,3.10202434168392,0.86399505243784,0,0,1.42415630550622,0.551613780743443
77,2.78360624143183,1.99556147412298,0,0,0,0
78,3.22239907802451,1.0556887439895,0,0,0,0
79,2.77599126265314,1.74452125692934,0,0,0,0
80,2.57197897806362,1.34321792137838,0,0,0,0
81,1.79030401494138,1.31078479056631,0,0,1.13982634259074,0.464585278142801
82,2.6277043223824,1.07290323946968,0,0,1.05580505804438,0.329397521583076
83,2.42223147426964,0.92904988432656,0,0,0.973493597124187,0.352601482858329
84,2.86252649034456,1.27520215643162,0,0,1.59836794577101,0.348124226959782
85,3.94380452872615,2.30337953356141,1.33362975719122,1.65904433889246,1.59342230695901,1.04693148910912
86,4.39439233481592,2.73333183182878,1.357374249236,1.2621610240268,2.29634692519381,0.972370361710164
87,3.03651653771772,2.59165671758382,0.407378130976999,1.71979005662637,0.428402161987158,0.897440509380003
88,2.6418534065612,2.48368468743504,0.788431000289366,1.09741993615124,1.32853166537763,0.74397449502671
89,2.1746709676626,1.45443661893815,1.11685317265125,0.735297282341367,1.40675322579922,0.481093387951937
90,2.9584910899636,1.3275285868933,1.02453463170192,0.995955407648795,1.28915441258857,0.735500150141402
91,2.34762673208142,1.43138592352101,1.10334750061485,0.68347462186424,1.47862389802934,0.610941050451993
92,2.50353290585827,1.55767131235421,1.33044992006886,0.848905174003935,1.80121278398014,0.400785665305683
93,0,0,0,0,1.99824094254551,0.840249554194917
94,0,0,0,0,1.50292612441949,1.06810065288094
95,0,0,0,0,0.916106490632053,1.06340822214383
96,0,0,0,0,0.978867147669007,0.739881795205119
97,1.03416404603298,0.548483977502001,0,0,0.911563902519536,0.427026134870405
98,1.22792186566575,0.616232148694192,0,0,1.05414875991087,0.572640593160624
99,1.28123062703592,1.14226377664311,0,0,1.25950459915317,0.724426930914308
100,0.805892762542409,0.790591643278216,0,0,0.833257685886408,0.591597420157558
