patient,P23142_N,P23142_C,P23142.3_N,P23142.3_C,P23142.4_N,P23142.4_C
1,35.0263967513539,32.9657664720818,0,0,14.191872501352,12.6098990975777
2,40.6062749438551,32.3072954492759,0,0,17.4076192514208,13.2251238050246
3,46.6762052559442,33.6747148607537,0,0,16.3789501033254,12.8637786484139
4,35.7733537433117,45.1632563374087,0,0,14.4626728635534,13.8138314966546
5,33.062724207041,50.9617230940604,0,0,6.65760512283985,6.85137422968688
6,18.2296075362471,37.2616596485081,0,0,7.22646573647324,10.4567453427164
7,26.7433144211536,28.2766362728389,0,0,8.06346178921411,5.9770153466546
8,40.3144991103112,32.1010317573319,0,0,9.73170137065057,7.71317367119963
9,25.6519322183161,19.8899990811623,0,0,9.24312482912755,9.15401595473825
10,21.8063784523202,35.450833338118,0,0,9.89660218773541,9.90762223861886
11,26.4174182791848,35.449318756382,0,0,10.0604415603154,7.74969012003307
12,24.9336648813,21.5154019331618,0,0,10.1636199267627,7.04294305738867
13,29.9024146311734,39.4688605591369,0,0,11.372545824964,10.6930797804491
14,35.1877543033242,50.7152092819388,0,0,15.4707849509373,15.2650390360744
15,55.6847405118523,46.6782289776881,0,0,25.7653524072244,12.9902543860152
16,51.5068000896371,33.5954384282399,0,0,18.4647799989389,13.4579876489667
17,37.2453806908244,48.6455116396782,0,0,11.4906423303052,10.4820638618402
19,23.0125093359539,45.2291194254969,0,0,7.40086980391032,14.8829862952609
21,45.6406226404987,37.3633489314712,0,0,11.1162056748597,6.4786125002978
22,46.5564961844862,44.5912590884206,0,0,10.9493158859159,9.65740979457396
23,36.1746420858153,47.6674512356764,0,0,8.78693350938034,7.90828514126378
24,33.8226885065241,44.7951012193952,0,0,7.96003741068986,8.18192373492166
25,32.6936571383402,27.8335975432982,0,0,16.0517165363905,14.4206352518009
26,30.0913180496653,28.4260609252269,0,0,16.0578048305889,12.6862811805016
27,28.6403838842348,25.5670486658578,0,0,17.6790269351495,19.6584857015297
28,22.4149880798373,22.8209192528523,0,0,13.5791248178153,15.5081237910297
29,44.3959044946196,56.8511667974613,0,0,13.1102109867942,8.86137864456005
30,32.7009685786425,55.2936065649976,0,0,9.87903148250488,9.31919814119131
31,22.8213632547847,32.0698404636794,0,0,7.93422480469711,7.0877155341967
32,21.8884988123556,49.0379460875262,0,0,7.25981773525153,10.8146399331648
41,34.269083586622,32.7845057843253,0,0,9.89487405769124,10.2087215093639
42,34.2184490228214,34.5113213003817,0,0,9.97125648157506,9.61553593289564
43,25.8623593289895,36.0261008510484,0,0,7.78398449398633,17.0133191025926
44,20.2490373248996,39.5096165906082,0,0,8.53440257832796,11.5820007052504
45,25.4393658773029,29.7106967645953,0,0,7.87978408413823,9.23695615963322
46,18.9143332295977,23.1883441006684,0,0,5.63594708185609,7.47365070988478
47,31.797603420684,51.7455596756428,0,0,9.33955496291375,13.3339276963183
48,18.0889069319059,32.8196330976304,0,0,5.8306778390715,11.3113153507389
51,31.8217898190577,25.2991202835172,0,0,8.75197406056579,6.21183147449329
53,31.1326558829047,23.6863990117216,0,0,8.73300315210856,5.95666536772776
54,23.5549736548463,23.1355541677037,0,0,6.74390960040505,5.60883224107696
55,25.1767264272371,40.858719235011,0,0,6.18936711278578,10.9227405279142
56,32.4685337967996,33.9024697287748,0,0,8.40907483812959,9.046180995988
57,40.1726661055353,90.564306137021,0,0,12.5956071753065,22.6378865098573
58,37.7010214103287,36.4783159198762,0,0,14.4874773474293,12.4838797894256
59,33.6906119894461,31.9654597010874,0,0,12.2121563016218,12.2518792429703
60,49.4154692046456,29.4829605798487,0,0,17.739500951005,9.85132286101945
61,34.7146709696109,30.3261130158622,0,0,19.9514732582692,11.0591975669238
62,34.6765935993874,42.9933967019268,0,0,13.0219091896175,12.3326761213606
64,43.9561613691612,83.6208075967443,0,0,16.7910404753747,14.1136525161378
65,37.0109794212056,78.4855242540618,0,0,12.4910237489627,10.7551638389467
66,39.1131959051721,43.1706555768784,0,0,12.8902162694564,15.3699712002559
67,41.2368553184202,61.9946180621158,0,0,14.4870309302639,14.5880804470799
68,37.5446155353267,34.9233936876015,0,0,11.3433345833151,9.69428920596216
69,27.4974732872886,24.3332273309322,0,0,7.81274678468057,6.59352487161541
70,28.4049257408698,27.3227195751623,0,0,7.38188756998131,7.58755281376734
71,24.9799339979794,35.5930796042656,0,0,8.12209763389671,8.0462817130677
72,19.29252470687,32.3365679552006,0,0,6.45685780057195,9.17504628364915
73,36.0730606244042,43.2899822142187,0,0,18.5920459297886,16.5953947658167
74,36.4438717689827,37.2075745572689,0,0,18.8564172814169,17.6743755616068
76,41.2083269782058,43.3755481708183,0,0,19.0900717149179,20.4367360913113
78,26.9421133547796,24.3660995110587,0,0,5.7163746560799,6.53632016730437
81,44.2771550707572,34.7492001448674,0,0,8.05451495981088,5.06181219352292
82,35.5289236728511,48.6206104922251,0,0,7.26375108528241,6.72870887473001
83,30.2281194482673,61.7776406583821,0,0,6.19514886338953,9.4354770928363
84,37.7824990285144,31.3840085385839,0,0,7.3905513659732,4.97232438406852
85,25.372173369529,25.248446118874,0,0,14.167934599207,11.2874191422518
88,26.168855565164,31.6571421335298,0,0,10.5276923158449,20.4018221736139
90,29.9776627286562,29.7517609145189,1.27852209388672,1.13769872867329,9.18139704499217,8.65009541383539
93,35.4332669912836,25.1656555271713,0,0,14.6368487871361,11.191876255468
94,31.6649465477464,36.8253234033559,0,0,14.2529593332516,16.1144688780223
96,23.8951012701854,27.2642977825572,0,0,12.3232454477676,11.9075861803095
97,28.0408436049854,26.3290191354292,0,0,11.4586385058663,8.15790224965764
98,35.2215660698645,36.1496526584714,0,0,11.9786781442277,10.9989996334406
99,35.7746028542659,40.3253098326573,0,0,13.159217558387,19.9130579088014
100,31.8572975425992,38.8160151510197,0,0,11.4431309613148,10.9425266324754
