patient,Q92843_N,Q92843_C,Q92843.2_N,Q92843.2_C
1,0,0,9.03694607331764,30.5766208095339
2,0,0,10.7746736216577,16.4432451543711
3,0,0,12.9320901564404,21.0727961145365
4,0,0,10.2465913949792,19.9045317718953
5,0,0,7.85298947812638,18.6358645055615
6,0,0,5.80991653481132,16.9720671313456
7,0,0,6.45009740918101,22.2334845071038
8,0,0,11.1286863725834,36.5773438347787
9,0,0,11.5566316202992,22.4942249259408
10,0,0,8.60852053071731,20.7248588352408
11,0,0,8.17250738034478,19.0518603551249
12,0,0,10.9630647591366,24.1150326078435
13,0,0,16.4804969082087,35.679204177
14,0,0,20.4518831409019,38.0191010246083
16,0,0,19.9372615756481,32.6340724959874
17,0,0,13.785246784842,19.1029189632359
18,0,0,9.93696589036809,14.1167375244324
19,0,0,7.81045622053961,13.1412040438876
20,0,0,11.2718699929347,18.0484057458418
22,0,0,11.091122962101,19.4968398937988
24,0,0,12.032944633623,102.960690163271
25,0,0,12.8296551223756,26.4024329387405
26,0,0,12.1577524803183,24.615632767503
27,0,0,10.6794629316756,32.7670594667152
28,0,0,11.2481810449302,30.4998643127807
29,0,0,12.2431437719481,19.1345118439259
30,0,0,11.8789076773882,21.3285241039374
31,0,0,11.6226508567779,27.8649023660585
32,0,0,14.5406048833591,30.0497272156365
34,0,0,13.6117554344087,26.071275768767
39,0,0,13.1271681778341,29.3029122699701
41,0,0,11.9867920708541,18.462839137422
42,0,0,8.90120588396308,18.1315458316254
43,0,0,7.70979280709386,25.3923205319854
44,0,0,5.82179005432145,20.4243904800077
45,0,0,10.5036832821428,17.6003473051017
46,0,0,6.84990144681746,35.1956732567642
47,0,0,12.1319434654624,26.2590056840746
48,0,0,7.42117078479857,22.5633625616441
51,0,0,14.0311638192052,18.4049835401216
53,0,0,10.5180572481768,14.1875399696028
54,0,0,6.9673552445542,16.427455979329
55,0,0,7.7121409364348,17.3154673035587
56,0,0,6.9316061034973,14.1793754314518
57,0,0,14.7539184087975,32.3065888659617
58,0,0,17.5031618372762,32.0343716592312
59,0,0,15.6402608485243,26.6858962911606
60,0,0,16.4898353815816,25.0517244811016
61,0,0,10.3727928773609,22.96337191505
62,0,0,8.33621102653941,26.9896517432697
63,0,0,9.55458011589348,26.3995392763905
64,0,0,10.2528446973634,24.6041049942555
65,0,0,13.1864535264708,32.0006429654309
66,0,0,13.5072078953732,37.1577278433878
67,0,0,14.7514455350387,29.592403652145
68,0,0,11.8265890062847,22.1030283677176
69,0,0,13.1211056988299,24.1620649180768
70,0,0,15.5727846926442,24.3926910821536
73,0,0,11.3112239169963,13.5977041199526
74,0,0,9.60235059707436,21.9355164265931
75,0,0,5.89294632045736,16.3066988984695
76,0,0,8.3434259184191,16.4348542539912
77,1.74790096812177,0.999551140748119,22.5820117156937,30.4028074890489
78,1.12788184548789,0.848814365955563,24.7404766234735,37.7460006765136
79,1.06383331949863,3.15794004347171,22.2231539919704,32.4035182080129
81,0,0,21.9288826030638,47.4888394383118
82,0,0,19.8675127639066,51.0713995313242
83,0,0,18.0481227851724,36.6003915968325
84,0,0,20.9509685046161,43.9938271437291
86,0,0,14.4333022892076,38.7787336346031
88,0,0,9.58226435705302,35.23373240716
89,0,0,7.63961959035088,26.571694152019
92,0,0,10.8357346594477,29.1044460859663
93,0,0,13.762799138664,19.899180193227
94,0,0,11.1203877220466,19.5152828161261
95,0,0,7.99975635190016,23.1074534511671
96,0,0,13.0505618424237,25.9816014529842
97,0,0,12.0321195407257,17.5169468423857
98,0,0,11.685748483941,25.0631205021097
99,0,0,12.7022619629097,27.3626321317317
100,0,0,12.9587563723494,24.7793593715542
