patient,Q96JM7_N,Q96JM7_C,Q96JM7.2_N,Q96JM7.2_C
1,0,0,1.12291248831518,1.00152386324919
2,0,0,1.28219176714471,1.13008874849767
3,0,0,1.19713124319035,1.01040370519674
4,0,0,0.938196799263154,1.09279840449895
29,1.13158850646165,0.664705640042391,0,0
30,1.1328261626666,0.75046154652726,0,0
31,1.10051790575838,0.69503851526193,0,0
32,1.43270408220584,0.848631463055681,0,0
