patient,Q8TC05_N,Q8TC05_C,Q8TC05.4_N,Q8TC05.4_C
1,4.32109889960371,4.4366857941871,0,0
2,4.42248953576679,2.8754482565842,0,0
3,4.95286505932401,2.66982918251224,0,0
4,4.92659750832546,2.3339807155509,0,0
5,1.03115264797508,0.892917712677392,0,0
6,0.776310928513866,1.32513364022042,0,0
7,1.29852759492279,0.839525201340956,0,0
8,2.00186262936597,1.05484275043688,0,0
17,2.52444416108967,1.92976195763753,0,0
18,1.57618877382724,1.11821933933683,0,0
19,1.10060443465312,2.54721068108497,0,0
20,2.22197091765294,1.60459697921699,0,0
50,0.735504704496815,0.299983537427026,0,0
51,3.08103384958274,0.972925399217395,0,0
52,0.740190206035433,0.564491496447883,0,0
57,3.79687603087769,2.77639840801021,0,0
58,1.85709672989672,1.99641104432114,0,0
59,2.29967286391215,2.63759234998662,0,0
60,2.10524807908261,1.60868462721541,0,0
69,0.694399965931352,0.947821735797632,0,0
70,0.932610084319905,1.25645813814837,0,0
71,0.844306277148454,1.22323907673963,0,0
72,0.461423643641938,1.13211183033813,0,0
81,4.61423048160296,4.56425282106392,0,0
82,3.6303732163862,3.34613872412134,0,0
83,3.41613341720578,6.04960659752509,0,0
84,3.69378642548565,3.08481861121405,0,0
85,0.881747709654686,1.4343992248062,0,0
86,1.11376849894292,1.16782945736434,0,0
87,0.476987315010571,1.1805584918957,0,0
88,0.864988548273432,1.30607822410148,0,0
89,0,0,0.8496589709584,1.65097301540044
90,0,0,0.911486724226595,1.46566703656589
91,0,0,0.829014534332963,1.2505115435624
92,0,0,0.950469591577124,1.51829647873982
97,1.01748351677567,1.13716634763652,5.81741537929112,6.48231641079377
98,0.854203222204498,1.04379021109161,1.20259461849783,1.19439450890668
99,0.830402243845377,1.35022863827298,1.05309883391173,0.925718350749353
100,0.997976152496411,1.15442388472377,0.9572209992021,0.807220518539169
