patient,Q9Y6J0_N,Q9Y6J0_C,Q9Y6J0.2_N,Q9Y6J0.2_C
17,1.10482630398821,1.99156727032561,0,0
18,0.792155884380713,1.15391543253713,0,0
19,1.13050958697637,1.27535460735944,0,0
20,1.10582009486562,1.52246692022137,0,0
25,0.796371415341482,1.04842341628026,0,0
26,0.776964624391853,0.839401589587126,0,0
27,0.534519286271575,0.527759100798599,0,0
28,0.69737584918586,1.15948043463093,0,0
29,0.638237829221409,1.97700544209346,0,0
30,1.05919223320579,0.962118124803901,0,0
31,0.841025234147063,1.19411575898991,0,0
32,0.866243152302882,2.16102321454976,0,0
57,0,0,1.25766587155936,1.87591215642421
58,0,0,1.01788315078932,0.876860573649633
59,0,0,1.73996233385789,1.63091689851034
60,0,0,1.71155490824702,0.954893817852789
73,0.640672610314863,0.584912435493634,0,0
74,0.991038360127628,1.38826420165998,0,0
75,0.884268141293308,1.3856326497112,0,0
76,0.587605544213151,1.66599809174011,0,0
85,1.52843402037432,1.35653478638553,0,0
86,1.03227355287057,1.06654347311064,0,0
87,1.19796256811182,0.960944483929559,0,0
88,0.941372502566532,1.96529100529101,0,0
