patient,Q9NUU7_N,Q9NUU7_C,Q9NUU7.2_N,Q9NUU7.2_C
1,10.6137780962958,18.0276190276859,0,0
2,13.1268094113415,15.7100315074448,0,0
3,13.41593219484,14.5582946762881,0,0
4,11.1021165119528,15.8790503438961,0,0
5,11.7193875098877,23.9489455854865,0,0
6,9.46809779733941,22.9682979482428,0,0
7,10.7577689173382,17.3258840392388,0,0
8,13.4357511419217,19.9906228794324,0,0
9,10.8049947050523,17.6521302041438,0,0
10,10.3751206930377,18.3857857587357,0,0
11,8.8490648873604,19.1816720089681,0,0
12,11.7748433359477,16.3672598208048,0,0
13,9.93701372636614,17.0344292703668,0.740755674975861,1.30853895364186
14,12.2558427189567,22.9394456053478,0.871897613562804,0.901367346422152
15,14.1515476169536,20.6337222780808,1.79360337912853,1.99447781542812
16,12.3458650588587,20.0867243550308,0.772628480296252,0.703977274782024
17,23.9394266696868,29.23208985463,0,0
18,18.5323022236198,38.5232118385486,0,0
19,14.7861106063701,22.1504546773198,0,0
20,20.4302743506974,29.3379963832262,0,0
21,15.1030258780028,34.652036046497,0,0
22,15.818839317449,24.6085295746907,0,0
23,19.8370613866646,29.9532811789586,0,0
24,16.7300449194415,29.5599735403232,0,0
25,16.4352606367264,26.934087983635,0,0
26,17.6341405652645,25.5072437578076,0,0
27,13.2606603306407,31.7506134911291,0,0
28,14.9342218191209,25.8491086070804,0,0
29,14.5459994606712,22.2661585747509,0,0
30,14.2839352878968,26.6329074991636,0,0
31,13.0645623390159,22.0180321924314,0,0
32,11.1961891687519,18.5330574463877,0,0
33,9.82263989337329,23.4262669499159,0,0
34,14.9657793704808,23.8691101302342,0,0
35,13.4382023723628,26.1645791538369,0,0
36,8.48661260950601,18.6162302213076,0,0
37,6.93151571107006,15.7316730826951,0,0
38,4.85396201935293,13.6041912838537,0,0
39,5.93897328415504,13.2330563733986,0,0
40,3.619719272627,11.2974866525472,0,0
41,18.2772268369829,22.4792577155059,0,0
42,15.2012434629461,23.2541512124157,0,0
43,12.366299140264,38.9219838224487,0,0
44,11.5639741400163,27.4077147563183,0,0
45,12.0655832323148,13.1952400204989,0,0
46,9.04475164569378,27.1962176791322,0,0
47,14.5857788971452,21.81293858449,0,0
48,7.31112332379568,21.9227844038953,0,0
49,5.83051762172564,20.9439955116976,0,0
50,8.20450811210322,15.6021630153792,0,0
51,12.2650883471817,21.4625721756856,0,0
52,9.66061755220827,22.4286869385878,0,0
53,14.8325589063002,15.3258657484759,0,0
54,11.3365742343771,17.5985459434344,0,0
55,11.996841634496,26.7464587022185,0,0
56,12.2399186557955,14.4085481172797,0,0
57,11.8710588268267,19.3034146278437,0,0
58,12.7269969607936,18.6480266183696,0,0
59,11.5761468195284,21.0949802845625,0,0
60,12.5157821526497,15.6628976064259,0,0
61,14.7768378775829,21.9095762459133,0.876502117341286,0.853668191086006
62,10.0006653943565,41.8808486261584,0.921154243520388,4.49731504694
63,11.6912305801739,22.1569714131658,0.937071023667917,1.40792615072084
64,12.1601449915713,22.2524957245268,0.971801146675363,3.75150305091328
65,15.8086986547842,27.179491994359,0,0
66,16.7676960158733,30.9681275060814,0,0
67,16.1326925062214,25.4867012680204,0,0
68,15.3777366048816,21.725147522308,0,0
69,12.1700912522744,14.5186995997657,0,0
70,13.8759332503307,20.9672944526376,0,0
71,9.78603972256158,19.8801664388348,0,0
72,6.84499640532769,13.3509626804729,0,0
73,14.7634031450991,21.0228909304672,0,0
74,12.1441711725821,28.1586605291438,0,0
76,10.7426105940282,23.6581937847669,0,0
77,20.4601853163847,29.3411030916182,0,0
78,21.0400041082911,27.1682855782394,0,0
79,19.0492044548451,27.0645288969121,0,0
80,15.4322377990701,20.9196704101615,0,0
81,14.3618033450689,23.5555085722806,0,0
82,12.8809989463203,26.8412486454921,0,0
83,12.4758101430285,31.1253301524656,0,0
84,13.8677415772404,21.0275884207718,0,0
85,10.7133118584973,21.1429191773796,0,0
86,12.881099880651,25.3792507117345,0,0
87,6.76373975133766,14.1305570745158,0,0
88,9.55943708212505,31.1406081539085,0,0
89,4.7155176736527,17.2614651842436,0,0
90,5.18686810847082,14.8438128672938,0,0
91,5.94372616574021,11.3801596052711,0,0
92,6.73049589435789,17.3154885199164,0,0
93,7.68796892146169,6.67776324136222,0,0
94,5.72472279371376,9.3549873330986,0,0
95,3.64562926538933,6.92784139205546,0,0
96,6.38699528336622,9.5759668429123,0,0
97,7.52374975446648,6.00585643592559,0,0
98,7.72297239825312,12.856199805282,0,0
99,7.72994266915784,16.3601015863776,0,0
100,7.82837291144952,11.5902979115664,0,0
