patient,Q9NX55_N,Q9NX55_C,Q9NX55.3_N,Q9NX55.3_C
1,7.83692002335718,8.03725920638393,0,0
2,8.19760188601477,9.44786545597628,0,0
3,7.11968828659812,6.990804670814,0,0
4,6.0538118506057,6.13409696889009,0,0
5,7.43726825402655,10.076521970797,0,0
6,6.89183596255384,10.6425864222646,0,0
7,8.88860366985454,7.18597113636357,0,0
8,9.7900910153947,10.624565263578,0,0
9,5.86198846248725,9.47250094148917,0,0
10,5.77760819573383,8.43915510509087,0,0
11,5.73798682199959,9.37666394403208,0,0
12,5.75709701251727,8.12058979298477,0,0
13,4.65187099527075,6.55860165142195,0,0
14,4.78030333655739,8.12246673977521,0,0
15,16.8492766578141,6.23610390277768,0,0
16,5.37232990802707,6.5690759569993,0,0
17,9.32651232807176,11.6955800188494,0,0
18,7.71732523818947,9.21787637063711,0,0
19,7.69917659394761,8.64014042560537,0,0
21,8.88350209222951,17.7611242301921,0,0
22,9.13417016053291,11.2128288961841,0,0
23,11.7605159527229,13.3028855436279,0,0
24,9.81847573331302,15.9207704972509,0,0
25,10.6062581310971,12.2956653801357,0,0
26,14.8555715080325,12.6794603395066,0,0
27,12.2947497502386,14.3068854698898,0,0
28,11.8134916075778,16.649182502604,0,0
31,11.8212494867749,19.9293720388221,0,0
32,12.0338538228476,15.2668622255082,0,0
33,5.20800473925273,9.54586113349037,0,0
34,6.46230902755022,9.45138007362564,0,0
35,5.92572734543272,8.99727258480132,0,0
36,3.39924634140451,7.36864771476251,0,0
37,6.02112750148387,10.4117413865074,0,0
40,4.7050788638037,9.89339781603253,0,0
41,9.69433890311025,10.2833517216021,0,0
42,9.88213913926213,11.4475218840885,0,0
43,6.61523666386513,10.3400165092876,0,0
44,8.26821971897433,11.0606609222702,0,0
45,7.68658970656743,8.17732317648553,0,0
46,7.63377413005414,14.3118242310399,0,0
47,8.85149220062539,10.9362167430197,0,0
48,8.45756515454968,11.0186653150096,0,0
49,1.44917280287893,3.33207605341886,0,0
50,2.09209668084402,2.88092275859539,0,0
51,2.38236565943256,3.68459710677529,0,0
52,1.93095714976242,4.42282060816371,0,0
53,7.58108295271372,9.84251618070642,0,0
54,7.43886219881907,8.99237874255106,0,0
55,6.8561255161382,10.5014907473492,0,0
56,6.38815992911721,7.00975440616899,0,0
57,11.4874652776576,15.9605537539877,0,0
58,11.3438082516842,12.7886443573817,0,0
59,12.0713208209409,18.66876018089,0,0
60,11.4503419683686,13.6961035201202,0,0
61,7.95971044092794,13.5885800084655,0,0
62,7.3327862146307,14.9041938761471,0,0
63,7.49445111751865,13.5596920783929,0,0
65,7.4714326009943,9.39657375494459,0.740511035754655,1.5116579411823
67,7.3348702165716,8.47724025196036,1.02112459595058,0.850323239534376
69,4.75387860092328,5.88407050737485,0,0
70,5.09359437779093,7.35760493162847,0,0
71,5.70962982301746,6.47175901547286,0,0
72,5.73710612637285,5.57166872737386,0,0
73,4.22111588565859,5.06857946513589,0,0
74,2.97437083077302,5.00844537609165,0,0
75,3.82273975892677,5.42359537537888,0,0
76,3.3028354786873,4.98500670677836,0,0
77,5.66755184467355,7.93030022772376,0,0
78,7.52113853920619,9.86647127373352,0,0
79,6.64337060575557,8.42422375655858,0,0
81,5.19368878678156,6.58714612985856,0,0
82,5.42545310471928,7.59061777331794,0,0
83,4.97487851363515,8.99810917641852,0,0
84,4.89608049317543,7.37962947902988,0,0
85,5.65293770027806,8.94477406370567,0,0
86,6.10167241505446,11.4703052121585,0,0
87,4.01846440826411,6.25694346567999,0,0
88,4.49676231160226,15.0163939051924,0,0
89,3.83759325899985,6.18367685165343,0,0
90,5.85410729980475,7.36507154595224,0,0
91,4.45073077973855,6.2932320041929,0,0
92,4.40520715753718,7.54124197191649,0,0
93,6.25759337981871,6.44437995762316,0,0
94,5.71944149513278,6.81536384290782,0,0
95,5.51005852754802,6.80899039499064,0,0
96,6.40473587393605,9.26885641810507,0,0
97,8.45558584670413,6.92776578516535,0,0
98,6.33920477801697,8.824515579328,0,0
99,6.77218668937406,9.63961975679927,0,0
100,8.54918420516709,11.9554123780391,0,0
