patient,Q8WXC6_N,Q8WXC6_C,Q8WXC6.1_N,Q8WXC6.1_C
1,2.60588991281441,5.03279351181168,0,0
2,3.44095816177863,3.62134528787857,0,0
3,3.24874447167874,4.07299738486167,0,0
4,2.86899117067014,5.18416559215465,0,0
5,2.5339254553196,4.14134902784769,0,0
6,2.2177589189551,4.20510272154667,0,0
7,2.77626556519696,3.55518632632779,0,0
8,3.27749073752434,3.76771181806,0,0
9,1.59134339645687,2.41167796742554,0,0
10,1.32662558875883,2.10110707775601,0,0
11,1.40054671272241,2.87961224781902,0,0
12,1.89442213443915,2.57559835350946,0,0
13,1.94036749710646,4.9053786659366,0,0
14,2.36879342569716,5.32775337936144,0,0
15,2.55035090584546,5.32912878760245,0,0
16,2.16427241915268,4.86571026341914,0,0
17,4.72789993597353,6.25087482055617,0,0
18,4.02116732263367,5.1356450062145,0,0
19,2.5398083513079,4.38773228314358,0,0
20,3.57819729459618,6.43027441781606,0,0
25,3.76212021696202,5.01309731779771,0,0
26,4.21285854617403,5.6332891937382,0,0
27,3.82906705623954,5.5555643995839,0,0
28,3.81093326549526,5.80907049441281,0,0
29,1.71937564795488,2.04605481650121,0,0
30,2.4286853457488,2.33075017457742,0,0
31,1.90514222833333,2.96525029253691,0,0
32,2.08229290793269,2.30709424886005,0,0
37,0.646074166104216,1.13974713365117,0,0
38,0.602309415208952,0.908648699771724,0,0
39,0.660487590977288,1.07175007415751,0,0
40,0.556023309101383,1.11574804503618,0,0
41,1.10825916239212,0.983469510505579,0,0
42,0.908426765065656,1.18747845832573,0,0
43,0.825348552737398,1.39753934945833,0,0
44,0.952192689009184,1.29453466604491,0,0
45,0.903806105002148,1.04780928148322,0,0
46,0.544734091259005,1.41590023256379,0,0
47,0.97459085249081,1.37995953768155,0,0
48,0.732543534807588,1.16830217626769,0,0
65,1.21478528917814,1.72624051766541,0.690063783962889,3.0127070907886
66,1.09250016167246,1.66466584752622,0.727675612988734,1.73403744201458
67,1.18248411200668,1.33285713445857,1.07198889993373,2.47680168986084
68,1.01963977416807,1.43536139183329,0.718277833001988,0.634447481776011
73,1.03698043746282,0.867407554294878,0,0
74,0.763266572978006,1.45762671678723,0,0
75,1.11893574279876,1.23123065515963,0,0
76,0.781374205729952,1.10213429091191,0,0
77,3.7441120858335,3.95237597942902,0,0
78,3.41237244593711,4.43602439692545,0,0
79,3.42411798889199,3.54648253048873,0,0
80,2.74548422810241,3.48068913015914,0,0
81,1.0181538223569,1.62174380752167,0,0
82,0.80063137616098,1.36174760421574,0,0
83,0.792377082029684,1.19948814939288,0,0
84,0.750135345112459,1.15337940926253,0,0
85,1.48636701672429,2.25463115677575,0,0
86,1.89682342987052,3.53303447771479,0,0
87,0.980839988007439,1.75502430839788,0,0
88,1.42637168917925,2.47397684019271,0,0
89,0.903047471329432,1.49704130207645,0,0
90,0.91757289518504,1.38893225043078,0,0
91,0.866418466863331,1.19276297251266,0,0
92,0.968956737926443,1.67436618032472,0,0
93,0.690879828630203,0.844075586321018,0,0
94,0.696138795934501,0.972022067261512,0,0
95,0.366929142782662,0.700811229708632,0,0
96,0.695999954664075,1.12122543005375,0,0
