patient,Q9UKM9_N,Q9UKM9_C,Q9UKM9.2_N,Q9UKM9.2_C
1,5.34247814844255,12.7344612374572,0,0
2,6.40498805288631,7.84501776638813,0,0
3,6.70812580499905,7.90227913433835,0,0
4,5.49444811304267,6.29686335467669,0,0
5,2.52241387423543,7.23822484383897,0,0
6,1.4560794915187,6.5128194084943,0,0
7,1.88153314588276,2.43102555284315,0,0
8,3.18250901104821,3.08813211861474,0,0
9,4.22326904894671,8.79029396048181,0,0
10,3.86581208514761,7.73118466436007,0,0
11,2.91065587316427,8.80410447485679,0,0
12,4.3563309237004,7.98346763627294,0,0
13,2.52369637131126,5.23231154781044,1.10734191602369,0.661985530370921
14,3.21645374186573,7.89735714533932,0.997306069812682,0.934597057987804
15,4.47297622190925,3.76437926182995,1.5584632029901,0.738885488841774
16,3.45126145852362,5.07325638528599,1.10571900067758,0.552878625603812
17,9.27107268222634,9.25463929404905,0,0
18,5.56621905494298,4.26569377003544,0,0
19,3.7361693723797,5.81547212551202,0,0
20,5.87670333451748,12.4583919587962,0,0
21,7.48155744987106,13.6388271904407,0,0
22,7.0827859033875,11.4170883678367,0,0
23,7.61977989019066,8.87753546615989,0,0
24,7.12774467537862,11.3302815981785,0,0
25,6.90569672040649,15.6556124320205,0,0
26,6.80344884022851,8.70245524770268,0,0
27,5.03353605673674,10.8902533645836,0,0
28,5.30371010403581,13.1826634793669,0,0
29,4.83421101717908,6.93089864371173,0,0
30,4.04876067447406,9.45984585981527,0,0
31,4.0162106256655,5.18688288581515,0,0
32,3.8453188664967,4.94599114845401,0,0
33,4.72559856876127,9.41635806419689,0,0
34,5.3297249439485,7.39326120686627,0,0
35,5.25323911031452,9.46842779092968,0,0
36,2.85373275095468,7.6547472933538,0,0
37,3.45472740164067,6.02998245662754,0,0
38,2.8011630912549,4.78741132614659,0,0
39,4.81823415331455,4.85994854850826,0,0
40,3.78828124281367,6.22881193451408,0,0
41,0.861462367749381,1.11201548568367,0,0
42,0.900935647338155,2.51092074107283,0,0
43,0.672227248523535,1.88951883999799,0,0
44,0.374453153702855,2.04790397840291,0,0
45,4.85015918457397,8.01323567616284,0,0
46,3.43668395726938,8.73210174063366,0,0
47,5.5956732192539,14.2612929795999,0,0
48,3.83461376167024,12.674909920161,0,0
49,1.90731756083944,6.5179605884574,0,0
50,2.42255443555663,5.0099066260102,0,0
51,3.79008246688738,3.2982868285055,0,0
52,2.41661969565908,3.8091322732429,0,0
53,4.71234947631023,4.50822716346141,1.27818166821808,0.304329024732234
54,3.65321635477821,8.3531212411955,0.692938528791431,1.31860082401505
55,3.25141311345424,5.83895000589293,0.739645807067363,0.360017988507779
56,3.77411505724478,6.33106311678263,1.29094251139992,0.286877815613868
57,5.8916216893546,13.4337926918529,1.9539547826087,0.954671304347826
58,7.303339429895,8.12024755955019,0.982970434782609,0.555022608695652
59,6.3025855526962,6.96086436244234,1.41855304347826,0.587385043478261
60,6.06086016026293,9.00067601037806,1.26314434782609,4.80869565217391
61,4.15392377761442,4.96833569270381,3.4689835519962,3.18448286109089
62,3.60134777128709,11.3666723854235,1.08068733934594,1.00910063444423
63,4.83768268377041,11.7086496140856,1.25352510289289,0.564198475550867
64,4.74393135336662,7.99143298475196,0.987255397233407,0.830486753933703
65,0.802892507715543,1.87569768205398,1.07123252983508,0.565931238411083
66,0.792148204084313,2.2712259504892,2.0524819682576,2.34733669326842
67,0.812522161665244,2.17359971107755,0.959586842341717,2.65951250990418
68,0.474512443364633,1.40545669446451,1.30515099286899,0.335795561291587
69,6.6472706098659,7.43451575424871,1.24783866430693,0.50325473346967
70,8.21384140888412,12.1721581397991,1.61616439638112,1.59961686351038
71,6.18271863453196,8.98592080356703,1.63731121857772,1.87483657522219
72,5.13067026262426,8.37635802795004,0.879914785160067,0.629450314738919
73,4.52990750862248,4.78041967486763,0,0
74,4.39059681761251,8.66543343009502,0,0
75,2.07689318742872,6.65076534201715,0,0
76,3.68697134515822,5.98837708436452,0,0
77,10.8561517276717,11.0301942373437,0,0
78,10.2512413569598,13.9347496848317,0,0
79,9.0768383883228,14.278173627906,0,0
80,7.64927469790393,13.1483165228048,0,0
81,3.18973260256689,4.1597493427493,1.00427875799262,2.15444393316072
82,2.58827727269129,4.67873478070043,1.14368866026112,1.76582900077608
83,2.4265575009185,6.96158990134203,1.09146789557907,1.79751790828486
84,2.71107601516989,4.30621008272878,1.39548979073233,0.812613751090293
85,2.45059344666374,5.41379663941208,0,0
86,3.07097651167083,8.10016298380446,0,0
87,1.49524777433793,3.10637637920008,0,0
88,1.8145963618662,5.0640677798633,0,0
89,4.56275094152651,13.1413081339056,0.768719109003473,0.518810112209458
90,4.07617779819144,11.1117039316833,1.16853125834892,0.536263525247128
91,4.54268900668455,6.22423776769397,1.47020271172856,1.07159197168047
92,5.50322845445139,10.7166037429644,0.913371627037136,0.464183976756612
93,2.07026552238414,2.26177347294418,0,0
94,1.75348760670694,3.53648234464734,0,0
95,0.864818564701822,1.69048184746831,0,0
96,2.73259584222714,2.19755855273916,0,0
97,1.42092099203418,1.65100344185818,0,0
98,1.52798287037528,3.06028428587015,0,0
99,1.22373076279101,4.02635741285693,0,0
100,1.77799159874166,2.95404626655329,0,0
