patient,Q96B23_N,Q96B23_C,Q96B23.2_N,Q96B23.2_C
1,0,0,0.501828159835363,1.21113531126736
2,0,0,0.65405762304922,1.05679471788715
3,0,0,0.712659921111302,0.792052821128451
4,0,0,0.568600583090379,1.22193277310924
5,0,0,0.732248910213276,0.813990228489512
6,0,0,0.656036979608554,0.742393997564999
7,0,0,0.684032739736201,0.853449847306083
8,0,0,0.866000679639836,1.05190918031385
9,0.96148873954753,1.5521340994203,0.841094964379053,1.90661899770441
10,1.13178833427384,1.21701764736059,0.525910441635365,1.55934644967498
11,0.81662648130098,1.31769096598779,0.567285464520893,1.17157406159275
12,0.9306020109783,1.28811624685785,0.586845297853891,1.13337383987977
13,0.650145698933787,1.26360769088245,0.533503741464443,1.02010718986569
14,0.982033973959474,1.14475568057404,0.899922189174842,1.22859656905165
15,1.40880762687598,0.798821775674173,0.966846770850756,0.951895457156778
16,0.754116205427075,1.19051398878202,0.841978576570942,1.19771948833928
17,0,0,1.04955712732241,1.52445791083063
18,0,0,0.949160261355293,0.998327028710046
19,0,0,0.797620663054288,0.931845008504271
20,0,0,0.926735940070451,1.08488470439527
21,0.60189643520865,1.41189993483455,0.631987410071942,2.15059802158273
22,0.723752805734559,0.918712137668042,0.693974820143885,1.11865107913669
23,0.812776048077619,0.982459633625371,0.919460431654676,1.34821492805755
24,0.70429367895156,1.39467332802356,0.789109712230216,1.81267985611511
25,0,0,0.769109712230216,1.0383309352518
26,0,0,0.590764388489209,0.928363309352518
27,0,0,0.493178057553957,1.54224820143885
28,0,0,0.572464028776978,1.28348561151079
29,0,0,0.69893381981,1.41701123617507
30,0,0,0.765074848003237,1.5307371231084
31,0,0,0.823824085163876,1.34112544505762
32,0,0,0.500239866066621,1.18111356597622
33,0.622165534866228,1.06856444721652,0,0
34,0.965317149404666,0.842101574709341,0,0
35,0.993788529687277,0.65251974518722,0,0
36,0.583352605477026,0.780290553846369,0,0
41,0,0,0.861569983981761,0.90016935438962
42,0,0,0.574746869236792,0.875483577210206
43,0,0,0.460527651935783,0.938875185487279
44,0,0,0.464908918785234,1.09811089600592
45,0.682674034604949,0.746980674076864,1.39045847162542,2.0085783327546
46,0.649888697895887,1.35752522785548,0.874169020659257,2.73095804732293
47,0.900143804058581,1.24644684656467,1.41696968055387,2.80150632681378
48,0.734755464740662,0.813536970817844,1.14343997292171,1.5535151091878
49,0.73641587899401,1.00000608437199,1.22696905202953,1.73282433094974
50,1.00034985138921,0.807253179844909,1.49411062877769,1.68412993614641
51,1.06667559041225,1.10953390668399,1.71593796865798,2.29843832625635
52,0.755365655545449,1.23818186796304,1.22745852051705,2.34196997996505
53,0.798448626005874,0.89775590290679,0.896930553131106,1.11032214833126
54,0.834973100355778,1.13764881331087,0.62253292715202,1.68770588268418
55,0.857724549679088,1.40952608781958,0.738215767868505,2.72829961315172
56,0.833410528780329,1.13624911564557,0.746104770002647,1.34839995720456
61,0,0,0.651896025119314,0.965179666074557
62,0,0,0.710008896933157,1.36680282133674
63,0,0,0.762413667646043,1.02441459097038
64,0,0,0.702220258714256,0.949669651674366
65,0,0,1.8554916927729,3.03935721558067
66,0,0,2.04054294022739,3.0221816306728
67,0,0,1.88491675119994,2.6691140831897
68,0,0,1.54186027257367,1.95818736801643
69,0.717296725395444,1.49681093735931,0.834966915949336,1.11742873028857
70,0.784126722093826,1.13090914548129,0.840835586968989,1.20260305834612
71,0.639744724915209,1.14606657262058,0.61304032673593,1.13204509794218
72,0.496292433292313,0.886191733949635,0.563543792337542,0.935840521193879
73,1.77408980690996,2.11416936424958,0,0
74,1.85844565177814,2.0369001135812,0,0
75,1.13513508275853,1.71363179754651,0,0
76,1.43355846927031,2.13052678497466,0,0
77,0,0,0.900263572228317,1.38900413131285
78,0,0,0.989671205681605,1.37578966669842
79,0,0,0.735513002930743,0.992342781163344
80,0,0,0.538091974722471,1.08716117446883
81,0.839469386768017,20.7430214457454,1.5611678138645,28.8402916102673
82,0.716568426170708,2.41697076459575,1.66005088390668,4.29285850018858
83,0.745758008902104,1.78131169199791,1.39295329366103,3.29792251454947
84,0.782976540653237,1.29099594352243,1.60964992470834,2.67191252424605
85,0,0,1.14053727464411,2.74619992079207
86,0,0,1.35731130024268,3.06373554840365
87,0,0,0.547659217966053,1.33195552231347
88,0,0,0.917146908116319,4.32395027042322
89,0.486491427642805,1.31240757292598,0,0
90,0.659133013732022,1.87762249126513,0,0
91,0.575473307873568,1.17936540180385,0,0
92,0.751291947672057,1.71813602015113,0,0
97,0,0,0.464912182371254,0.836518070508868
98,0,0,0.528742121380421,1.07624108958061
99,0,0,0.609119581777141,1.0147672208663
100,0,0,0.600806077683062,0.777286137196256
