patient,Q9BWF3_N,Q9BWF3_C,Q9BWF3.3_N,Q9BWF3.3_C
2,10.490690485476,15.9050461651292,0,0
3,14.152391412806,19.2035507674523,0,0
4,10.6915701636306,19.7434286897597,0,0
5,7.95511975398639,21.3201808268637,0,0
6,6.57195075964209,27.4788007233874,0,0
8,9.50584042259051,21.6781001088275,0,0
11,10.7584717307694,31.8040366699256,0,0
12,12.8348560426781,25.7987311680338,0,0
13,8.37395783860366,19.2820527371483,0,0
14,9.85472274922491,31.1736346645577,0,0
15,11.814528095806,25.3100396462691,0,0
16,9.61299955072819,21.9669633423776,0,0
17,13.8388429018045,28.1204676472617,1.16417326807609,1.12858151989793
18,10.5450618823608,12.9267392746616,1.081161295438,0.801125182905293
19,8.40629225546874,13.7929153006916,1.14719641325424,0.915960874485523
20,10.4112003451502,21.181393572931,0.979035269186135,1.11232187006696
21,13.2214016407084,40.270173597209,0,0
22,13.5603890913347,19.6341552608289,0,0
23,16.9605733015843,40.6824294783244,0,0
24,14.399069152004,27.8593459634995,0,0
25,7.67066289988428,14.5980610038237,0,0
26,7.05080595864773,11.1333647877302,0,0
27,6.03620101629819,16.6991959557943,0,0
28,5.70438224302911,15.6548788582971,0,0
29,8.21852700386191,13.1875038803331,0,0
30,7.58272619833422,16.9153494164185,0,0
31,7.04914679047712,14.5643904858794,0,0
32,6.02156513429478,12.4284305878704,0,0
33,9.4281071052273,23.3943493360206,0,0
34,11.1980715352316,20.0907234267674,0,0
35,10.2865379564477,18.4593405394483,0,0
41,14.7199955919662,19.9057013884588,0,0
42,13.0493940373553,36.2438182780378,0,0
43,10.486761639009,32.0381813963023,0,0
44,9.97856764663326,20.5129832344452,0,0
46,7.02665875969876,30.4921482769106,0.658537280012571,0.966760292269013
47,10.9141323761086,22.4724558066504,0.80049104336895,1.12384113764928
48,6.75077335733456,24.0845154419639,0.736516931175361,1.14080177561282
51,10.8188449722146,16.1579242806435,0,0
53,13.4895268126385,17.0914896740294,0,0
54,9.80427435237021,32.3135710600014,0,0
55,10.1887805375259,27.8694678096991,0,0
56,10.103705984557,18.7437679854017,0,0
57,7.9107070439421,17.7408131234985,0,0
58,8.26732048744725,15.4284997311481,0,0
59,9.03397031514558,18.388516319993,0,0
60,8.75022391313409,19.7541034825282,0,0
62,11.0535345264715,50.1468118096526,0,0
63,11.4288681872074,30.5594877265505,0,0
64,11.9330181054962,27.6677953502562,0,0
65,14.7439891300672,33.0195061277358,0,0
66,15.2865492697819,33.5389473377116,0,0
67,18.5604112415568,33.7031653376128,0,0
68,12.3543980446158,22.8701347165845,0,0
69,6.39482576454308,11.2290175543501,0,0
71,6.08826603399719,12.376111709456,0,0
72,3.86106362414939,12.5154862236112,0,0
73,5.57210250463022,8.37100268752304,0,0
74,4.79056015748597,15.4244426397844,0,0
76,4.36067346871027,12.7257949309177,0,0
77,8.98601997248563,16.0545440621914,0,0
79,5.4544787089528,8.20919642498713,0,0
80,5.62088334308074,9.39177724568985,0,0
81,14.2937076796232,26.3399429385637,0,0
82,14.0067061683674,39.2708850517056,0,0
83,12.392540679796,62.3145267080504,0,0
84,15.8616745758518,24.3287671678518,0,0
85,3.79619379312929,9.77559635671806,0,0
86,5.47093615660129,14.3687162176542,0,0
88,3.06829072011804,12.6267257145624,0,0
89,4.39537808826913,22.539369428896,0,0
90,3.63564355474672,14.2646801455366,0,0
91,5.44244112189242,12.0680388694015,0,0
92,4.912456050117,12.1104572772365,0,0
93,8.54485425719934,13.3250861294312,0,0
94,8.16857534998514,11.9247415157738,0,0
95,6.46728271921287,13.783787180176,0,0
96,7.61697150970636,14.9288133844481,0,0
97,5.73514601575805,8.71101391538929,0,0
98,5.44289527365665,14.0877255357453,0,0
99,6.01306091087041,15.0341597292431,0,0
100,5.8726788961763,12.0991354522657,0,0
