patient,Q8N8Q3_N,Q8N8Q3_C,Q8N8Q3.3_N,Q8N8Q3.3_C
13,0.874732381892563,1.3213800630773,0.903870077197048,1.7382116869174
14,1.22242670209179,0.992478932479664,1.0078134319456,2.1020858540243
15,1.1304554484406,1.11555143887474,1.08524905846867,1.33034542696955
16,0.729144068932737,0.954394218230125,1.68488948722755,1.77786677118659
33,0,0,0.741329637449917,2.35702540090317
34,0,0,1.02848484732466,2.91265221111713
35,0,0,1.08104398496888,1.90045809300839
47,0,0,0.701339695185475,2.50541530862198
