patient,Q9HCR9_N,Q9HCR9_C,Q9HCR9.2_N,Q9HCR9.2_C
57,1.33756355715446,1.92320632022838,0,0
58,1.94459794368382,2.22036141512033,0,0
59,6.14085825597946,2.61847171628244,0,0
60,2.65316178372329,2.35079581145704,0,0
61,1.09659149184844,1.01526195899772,0,0
62,0.631733234743408,1.95871149327959,0,0
63,1.04227718875598,1.53871841047597,0,0
64,1.0249519970423,2.43832365323379,0,0
65,0,0,1.09891730507108,1.1968961255713
66,0,0,1.13179176643078,1.86003860506129
67,0,0,1.27110172244577,2.32969341118515
68,0,0,1.72870233022625,1.12841081560497
