patient,Q8IVM0_N,Q8IVM0_C,Q8IVM0.2_N,Q8IVM0.2_C
1,0.766118777973688,1.49454725010172,0.600410035249624,0.587963733667022
3,1.10745922623084,0.793999220127492,0.87266785468887,0.765272137155115
4,0.758525617116506,1.32206191509562,1.24391511041344,0.456423978682636
5,0.886337049792773,0.871157550639192,0,0
6,0.627778880392271,1.5570626349892,0,0
7,0.518297822660674,0.532559687116923,0,0
8,0.850939232969471,0.432093864923239,0,0
9,1.07653369556178,1.15720899287556,1.37002277997825,1.63307201346276
10,0.884772544562415,1.09807889557287,0.609553225111335,2.51739282122848
11,0.86769606076567,1.30144983782885,0.534500379666304,1.05865536560839
12,0.985335292323899,1.28659662351343,0.830853530896628,2.32517905883802
13,0.940727552945553,1.44834320941727,1.65916301654651,1.3131423003502
14,1.37277123800919,1.61955198894587,2.4903864579529,3.60560416079471
15,1.28650120904525,0.931283713761858,3.37806570432792,2.44516670329115
16,1.33076820875296,0.68247282969734,1.70537239592684,2.41183871819212
17,1.21684565313967,1.21504935004732,1.72163614681844,2.01917908269175
18,1.26364610897572,0.803126146833292,1.71875993075537,1.17258050442582
19,0.86875881250845,1.18682517914743,0.536334580411784,0.9140776233622
21,1.69446423200287,2.44991532694608,0,0
22,1.94269968403336,2.36395443735855,0,0
23,1.93906302024878,1.78657276090468,0,0
24,1.72257450310161,1.709415595082,0,0
25,2.23695189665125,2.89691493726185,1.77279017024086,1.50847759308702
26,2.072405459065,3.18538839363997,0.817728016536043,0.835941779347171
27,1.4798403793893,2.89408067352137,0.551862888640083,1.96695087991273
28,1.91896677022382,2.15414421974625,0.898514626934229,1.77532799356932
29,0.953280230134779,1.54540474088187,1.43729806120729,2.64081639275235
30,0.957617849000409,1.30033868820917,1.29169961918682,2.40328040105567
31,0.850340853253308,1.31836879926652,1.03231569305665,1.6868041075555
32,0.6255866798954,1.15397793914155,1.0604051979004,2.68496614492998
33,0.485731097381583,2.62641433375757,0.23908558789246,1.09709344887065
34,1.07354454267505,1.62103576124925,1.03052962633648,1.1262375071085
35,0.781037321669194,0.7976525432407,1.04280808467989,1.23613410791093
36,0.263641077404957,1.20217190951515,0.242885060685369,1.39121719486869
37,1.75238053473496,2.5385719809207,0.800275637896341,1.0521985545382
38,1.1752542717133,2.39461719510267,0.517333039637087,0.670669270244204
39,1.25588080011116,1.60052589946954,0.509751509162132,1.424937787991
40,0.953364665536999,2.37050186090685,0.484887542119614,1.23763499112958
41,2.31178635990219,2.42997938004637,1.52153953551002,1.24976435319381
42,1.86420331847111,2.677052574882,0.650199148127937,1.3417534248517
43,1.4644887914757,3.02598548097952,1.5676997328155,1.63625346383087
44,1.17082554608427,3.31988358515794,1.39522221671002,0.708193067377269
45,1.5920403038782,2.00020186249778,0.678386030677276,0.577221456185695
47,1.81698191956482,2.61490737583421,0.662233603336338,1.01716120791027
48,0.937161082577435,1.6733821974171,0.395161434736672,0.871216326725522
53,1.26745647493415,1.11056951442092,1.16264163832069,0.64493397701829
54,0.918785997661177,0.801746467174505,0.440401550756103,1.9540785245047
55,0.794505950884709,1.13009431797069,1.124913364186,2.64894868563234
56,1.03027355490224,0.912529098678674,0.62723330650203,0.846813899280748
57,2.86790261283493,3.22074772884382,1.8348351045535,2.16870892839652
58,3.37067386063651,3.049848853365,1.75336741365897,2.76227710461163
59,3.26150903637267,3.77366596054109,1.52719677234216,3.16228023278682
60,3.15799760781868,2.66798065879811,1.68220311345062,2.30178592851366
61,0.986562637975507,1.15463326594319,0,0
62,0.691761748735467,1.17266400204494,0,0
63,0.750737805869914,1.28481243077018,0,0
64,0.815498183564551,1.19900812554706,0,0
65,3.05080697047661,4.74514831582325,0,0
66,3.33346650947217,4.09453201488985,0,0
67,3.06407485024282,4.20184172080216,0,0
68,2.56987795736458,2.92853118601071,0,0
69,2.06560559891769,2.34939192666115,2.36758102963675,1.72966165012275
70,2.298313944173,4.46363177252008,2.67803749955527,1.06967659301953
72,0.954629959649617,1.9530606328959,1.17330914007187,1.82301206105241
73,1.42377993054286,1.54088100895632,0.578422077215012,1.03760759349114
74,1.36947176019009,0.812802047157741,1.26791410049053,0.98874467842128
75,0.580387497715226,0.919970754889417,0.706001864378421,1.40861491555853
76,1.49127033449095,1.08225918479254,0.628881133924516,0.665079820361031
77,3.29252051003519,3.05667604488082,0.813926478742376,0.817850934376358
78,3.02787202437787,3.2565429656724,1.14616958144135,1.14715678340751
79,1.9494458481744,3.05920270291718,1.15162635435867,1.27193574008302
80,1.77507505395908,2.01922407189789,0.916692892145844,1.31597019286967
81,3.25778244154259,4.2969257625982,1.53625141025851,1.39662355499599
82,2.29815008279937,2.74908316225885,1.08128321260975,1.03525891528638
83,2.47005879815651,2.92299568328255,0.775844928792165,2.01267188802956
84,3.27355751157074,2.01708830589174,0.850934449549535,1.47881260321457
85,1.13756339850992,1.91632446045682,2.64742507365029,7.18465410748206
86,1.37577389905208,2.06652908461296,2.9929489359049,5.53550623474979
88,0.781223547518276,1.37022631081885,2.50296034507463,6.8990681124962
89,2.2186648569181,3.38913108422835,2.18759307653027,4.46217250817899
90,2.07009201820924,3.34105669247986,2.33959502673492,5.25286748066221
91,2.30157615267212,2.28368947985933,3.81001448872985,4.62085487146735
92,3.17361473208395,3.39010047348886,3.30489852869275,6.16141508017496
93,2.25949475607144,1.91323992798338,0.581669979139633,0.695823820239484
94,1.85099653966205,2.19608039339668,0.62445919088057,1.22613787552767
95,1.4692313182263,1.83963241423436,0.35970910464677,3.70177066736749
96,1.87970737827029,2.55306370897552,1.65249421001626,1.35245807394754
98,2.13536761785787,2.34767478917023,0.887641646687568,1.21192803426159
