patient,Q15149_N,Q15149_C,Q15149.4_N,Q15149.4_C,Q15149.5_N,Q15149.5_C,Q15149.6_N,Q15149.6_C,Q15149.8_N,Q15149.8_C,Q15149.9_N,Q15149.9_C
1,6.97339278132291,12.9797830892927,1.12349952092931,1.88675436526392,0,0,0.872033357016241,1.3693126933207,1.12401170870169,1.16446586440377,0,0
2,8.60592627672098,11.0165167421945,1.60296110522934,2.23083570231882,0,0,0.916673484473342,1.19933831392053,1.35139706099761,0.861695396351379,0,0
3,8.16467172467616,9.55582141858271,1.50343158525268,1.45741731397883,0,0,1.0760178267703,1.033293861821,1.50129209662636,0.738020756334822,0,0
4,7.47971330072134,16.1525306392786,1.31219271876639,5.28316134050103,0,0,0.996282501202087,1.47686610545353,1.60852133289968,0.663575884805298,0,0
5,3.6050153081818,7.43655593794174,0.8457826227532,1.03694670748794,0,0,0.877389965075164,1.48309507798434,1.88186202630923,3.43420346600098,0,0
6,3.9091522829453,13.0341293645329,0.730276262059771,1.53011100777174,0,0,0.82683789236209,1.28686956333109,1.0532617508477,2.41530141442402,0,0
7,4.36152272988148,4.75214152760788,0.738842341820911,0.720333063231719,0,0,0.668565478643788,0.679871580728432,1.23329019121105,1.28707248729829,0,0
8,4.71347840246645,10.1191357204985,1.15268458385058,1.93359491942856,0,0,1.022126293412,1.19711490487863,2.32283922330303,6.28584452847606,0,0
9,5.42615807910297,7.17938418156099,0.932712588096095,1.08768455167447,0.720753473417818,1.01125520458151,1.13952098938768,1.29550936886207,4.54733618835776,6.74340564339169,0,0
10,5.84991407141104,6.39131019040287,0.597613045938577,0.628584932352487,0.745705890181482,1.38133554156166,0.841576985982181,1.0345703168759,3.67317610140847,5.0934855678791,0,0
11,4.43296799006467,10.1304505047105,0.615843150367817,1.98609110550954,0.645127286477489,1.66298393894136,0.760509630249214,1.05516015563737,2.89021118011052,4.52293240966526,0,0
12,5.86056539921185,8.41988900575626,0.829588713411184,0.932651499562735,0.740614853574605,1.3401868685055,0.864773227981867,1.14476366868059,3.8161844313715,4.7066613720878,0,0
13,9.65422553356476,19.628498867666,1.43882074884857,4.02601100868527,0,0,1.21909034338471,2.69842808907125,1.62687194432747,2.49089515933558,0,0
14,11.5329753807786,26.2519539094488,2.15374987924185,2.48657516311031,0,0,2.10745874269276,2.07041714272712,2.55347611685605,2.14715867100196,0,0
15,12.7956417628436,19.5258628581947,9.68916970944073,4.16191902497493,0,0,1.11051411433836,2.81923639001743,5.84050007390204,1.70092684173637,0,0
16,11.8175224973575,20.9615357994095,1.72739024142049,3.3027785174346,0,0,2.01678608778287,2.59109110927285,2.62148623109465,4.11824719795844,0,0
17,12.2577110630627,15.3867075083836,4.359463241145,3.83189251767899,0,0,4.41646167703756,4.37731371816058,1.33106227469422,1.48154705836526,0,0
18,9.89076765481733,9.03121708657255,2.6925618756906,2.20369094127026,0,0,4.3814496249262,2.87198065258227,0.918666827198878,0.743061113196456,0,0
