patient,Q9NQC3_N,Q9NQC3_C,Q9NQC3.2_N,Q9NQC3.2_C,Q9NQC3.5_N,Q9NQC3.5_C
1,0,0,2.60271039176375,2.01238091680849,0,0
2,0,0,2.79067212395183,2.75060440669357,0,0
3,0,0,2.26740794515297,1.85900936062093,0,0
4,0,0,1.83055386027191,2.185010486466,0,0
5,0,0,3.61281615992766,3.20426806289861,2.58970516416903,2.0321279573805
6,0,0,2.27898653663152,4.10245109549489,1.58352590316544,2.28702740856765
7,0,0,4.36101149955218,3.58332756019753,1.9132498534564,1.59455071319271
8,0,0,4.90979789483011,3.36197817909476,3.08226811416438,1.62961294665131
9,0,0,2.32439287552759,2.18697728284279,1.20519711675815,0.758694096736759
10,0,0,2.3620360529886,2.54383736967295,1.96762294356643,1.00438402435232
11,0,0,2.52640313424411,3.2243043820401,0.987479995044586,0.619914696089015
12,0,0,2.78885257062732,2.6284901792089,1.26919021963102,0.535713111873526
13,0,0,4.71288594195549,5.8306886069758,1.45690232047125,2.59687780038668
14,0,0,5.85448865897466,5.94000725146413,1.53788886482325,2.28044211583177
15,0,0,5.57293384590375,4.72157649126961,1.04639437232308,2.41222053765993
16,0,0,3.2438141555726,4.38323601292352,1.25865433101724,1.83918800370117
17,0,0,8.04496753594761,9.01025734614531,3.96196743632266,3.02628592485379
18,0,0,6.55347424859193,5.44236517087652,2.2829394349667,1.24159091137567
19,0,0,5.91594346767905,4.94105995817376,1.47010257035932,1.61095731498413
20,0,0,6.87699863269828,9.46993216217503,2.71699185960893,2.69256994763884
21,0,0,2.79590488815623,2.24505831992829,1.71631041313091,1.65440538895107
22,0,0,3.3047899556416,3.54598289233427,2.19533459243368,2.49279217082975
23,0,0,3.85207923302207,2.22537166202682,2.30856508423677,1.11265930183314
24,0,0,3.46720035779484,2.88041093236189,2.04280765060362,2.19062338192253
25,0,0,1.78688412029165,1.37382544582307,0,0
26,0,0,2.20828745804947,1.99323330748026,0,0
27,0,0,1.73747825601248,1.94401504950142,0,0
28,0,0,1.89460267500609,2.31416234468516,0,0
29,0,0,2.64839281443742,3.03935749173987,0,0
30,0,0,2.49797634671317,3.42065379899163,0,0
31,0,0,2.51019521884845,3.48688994245608,0,0
32,0,0,2.52592516946291,2.96486563579873,0,0
33,0,0,2.74899362180874,4.28919289062868,3.9676258827302,0.844021678619413
34,0,0,3.56286235143539,3.06947149316899,3.18768123809029,1.05952106675678
