patient,Q9Y5B0_N,Q9Y5B0_C,Q9Y5B0.4_N,Q9Y5B0.4_C
1,0.79325572206287,2.22136041678862,0,0
2,0.776159047005795,1.16014092957911,0,0
3,0.962177310776796,1.11144302815665,0,0
4,0.763931979160569,1.7409083591875,0,0
5,2.54439751570799,2.51585340024781,0,0
6,1.80349483358143,4.93014758807734,0,0
7,1.84439329554962,2.63895700180739,0,0
8,3.4331724186656,3.38023691176759,0,0
9,3.09649296520259,4.0314447312743,0,0
10,2.63951150891175,4.35443721980667,0,0
11,3.24884682662245,4.83392871558404,0,0
12,3.80552090495224,5.58762730996861,0,0
13,4.05367448307625,5.29591721605795,0,0
14,4.55930343460013,5.84442655288989,0,0
15,7.53657085503804,4.96841601566429,0,0
16,4.94976352157618,7.60189707898392,0,0
17,5.19757720498438,5.4111950990984,0,0
18,3.75601973194302,3.18965349657711,0,0
19,3.01462919007008,5.15696951966318,0,0
20,4.40994709991322,6.02286019735159,0,0
21,3.45243718783483,6.60327700534738,0,0
22,4.18516267980228,5.36280292696364,0,0
23,5.43436308450616,5.14128824130217,0,0
24,3.91723317906391,6.02162194318246,0,0
25,2.51622267259512,3.84780697037127,0,0
26,2.48331716525264,4.09070557215057,0,0
27,2.48232767738245,5.33666285030298,0,0
28,1.89405040571707,5.6521784653786,0,0
29,2.67130712672158,3.68447265729121,0,0
30,2.83540398033992,4.91011925453497,0,0
31,2.78785897380782,3.9934333893511,0,0
32,2.44548952440837,3.40912239840107,0,0
33,2.54390244624038,7.56493881257352,0,0
34,3.66536476990477,6.44435332275633,0,0
35,3.90676357359729,4.60300146792285,0,0
37,0.681106397517296,1.32812442803047,0,0
38,0.478683077023196,1.54414486234092,0,0
39,0.597248038525834,1.67819621656139,0,0
40,0.284339525178861,0.875506892105702,0,0
41,3.44223157410181,4.68212949576951,0,0
42,2.71711832925926,5.75916299743944,0,0
43,2.58890473802884,4.2871983897597,0,0
45,3.12698301518687,5.17852614481256,0,0
46,2.78365951529778,7.38008357557422,0,0
47,3.8994743860444,6.65123234592897,0,0
49,1.35831675279483,3.34359943129255,0,0
50,2.10851566644518,2.50232568895261,0,0
51,3.60175523418792,4.49786040059178,0,0
52,1.9342140190282,4.54166323172882,0,0
53,4.74249577751046,5.25940962430086,0,0
54,2.71560314135946,5.25549687152615,0,0
55,2.95202791000958,10.6032776014903,0,0
56,3.54198105341156,4.65853517681596,0,0
57,4.83461724214225,7.033802072111,0,0
61,0.972645536369606,1.29526403213968,0,0
62,0.525839868144886,0.624797195503535,0,0
63,0.78103552619719,1.11170020988656,0,0
64,0.59140366464506,0.664907418137804,0,0
65,6.14091400166654,9.76681091227725,0.965736862558832,0.80890798393713
66,6.62505826488306,11.2732437724802,0.976974394403903,0.964015069735308
67,7.40911016095915,8.96253569710612,1.14269830303554,0.959610734487672
68,5.83623916855259,7.98477863751009,0.857258517207133,0.894166414784749
69,2.95292115306492,3.2024843447596,0,0
70,2.98755652837742,4.41591373302779,0,0
71,2.12329577825208,4.73487118335206,0,0
72,1.4189639470094,3.32136527175019,0,0
73,4.19471419236676,3.96390297270863,0,0
74,3.51688667275087,4.19075256456127,0,0
75,1.9071527444656,5.30480733759793,0,0
76,3.40938862878062,5.57376838321593,0,0
77,5.98528139865465,7.56695570532057,0,0
78,5.12516456009283,6.89837706385723,0,0
79,5.33007955288629,6.01651377342587,0,0
80,4.54638919514225,5.14619191978973,0,0
82,5.47922341936427,7.64208916064571,0,0
83,6.13473248361679,11.1390992925421,0,0
86,1.75351193824211,4.03919375213113,0,0
87,0.540748846327864,2.28480369044756,0,0
88,1.22461191461226,3.30043445581941,0,0
89,1.50205072682988,5.1957356065006,0,0
90,1.61083412802459,5.84230749458278,0,0
91,2.00911139699412,3.48060182459582,0,0
92,2.17230332025229,4.59326055629452,0,0
93,1.86650305180606,1.88619019387009,0,0
94,1.75187947912728,2.34979039688417,0,0
95,1.27117651171224,2.7004188159196,0,0
96,1.47809487574395,2.89483927750225,0,0
97,3.22728666732945,3.98440747067642,0,0
98,3.74674479027413,8.65900660394592,0,0
99,4.15869037904956,9.5202695368848,0,0
100,3.41419836540171,7.01090571141237,0,0
