patient,Q8NDI1_N,Q8NDI1_C,Q8NDI1.3_N,Q8NDI1.3_C
21,0.906992141795529,1.09851611169086,0,0
22,0.908255067514151,1.39439253075293,0,0
23,1.09064604876198,1.35497699459254,0,0
24,1.16808177592259,1.70140997059103,0,0
25,0,0,0.369656302926833,2.13677143770533
26,0,0,0.552241547010931,1.25472217876601
27,0,0,0.399376271094212,0.637321026533985
28,0,0,0.389800638012774,2.5564790945388
37,0,0,1.43076081007116,1.10439386894708
38,0,0,0.906662899988818,6.24825153560786
40,0,0,1.1615551671169,2.92916095289102
49,0,0,0.290207273454335,1.41146446582098
50,0,0,0.800768666829583,0.94758180969942
51,0,0,0.989680758891876,2.02301557327883
52,0,0,0.739169795392442,1.58342589918468
53,2.3832068389934,2.17080060500146,0,0
54,2.76574340192469,1.69309881258856,0,0
55,2.34261387879211,2.23895695079867,0,0
56,2.31161702097814,1.93436559418977,0,0
81,0,0,1.95699654129923,1.26017301878418
82,0,0,0.981199072096743,1.09271495448417
83,0,0,1.4034746124664,1.71580450384812
84,0,0,0.859323836561733,1.42039544757933
