patient,Q16181_N,Q16181_C,Q16181.2_N,Q16181.2_C
1,1.88986734671699,0.955589042882293,2.35004579851671,4.61227409708791
2,0.970075129139529,0.723971049562049,3.18074420199156,2.80507930709835
3,1.1680335291859,0.782618145462185,3.46596314812302,3.50837977237977
4,0.987281658202262,0.788033674082983,2.49807624391511,3.33138436082462
5,2.10354676013672,3.50814129696526,2.54444769182293,6.04301803202557
6,1.30825995366295,3.18129973914471,1.69612265628676,4.89551387594468
7,1.19655307717687,1.58324457257411,1.80155093149092,2.30324564004327
8,2.53444256169114,2.70242419406782,3.35952828939243,4.01661217958819
9,2.98903074353152,3.46018056006065,4.50295125877169,3.89041223287879
10,2.34638702743934,3.72376904343967,3.58665994200403,5.3581251831281
11,2.31376323208736,3.76668383105873,3.04313099690201,4.83329338887959
12,3.22637148747275,4.12042387113691,4.85870776737175,4.89907291072619
13,0.628583437597748,0.860259618392243,2.00704565866212,2.6134935390158
14,0.781844307162965,1.31983891147951,2.35850779639226,3.59127200584788
15,1.23661440412887,0.938162730685017,2.36351403335731,2.45967607586605
16,0.977312715045355,1.0342449953081,2.31279133854433,2.30193641805074
17,3.38335023961383,2.37511903173592,3.83799689634704,3.14749423843476
18,2.37619657485452,1.62697525948471,2.95497482703605,2.45003452832308
19,1.52635590271085,2.57140248936056,1.73703669066478,2.99448165732742
20,1.93835754890733,1.84732774217338,2.81981591481383,3.36034516495381
21,3.05151787833539,3.89426461862791,0.877446260753082,1.48846202147477
22,3.74830509913282,4.44514911160774,1.06266090378215,1.81714004646587
23,3.74898077868402,3.04727893841346,1.06225799024635,0.890449379408502
24,3.40371988724078,3.74011885557063,0.947145069803462,1.28391276137053
25,3.09539060527739,4.15675870109761,2.27490917996406,2.99703959288259
26,2.81650572651478,3.58869679037083,1.9643822983048,2.50598244495284
27,2.06757832122298,3.90021407022059,1.10560077575277,2.43205094896541
28,3.05424119108901,3.29599895519884,1.61584902271768,2.14329763035493
29,1.10004482096514,1.69199696766804,2.72930375790732,4.05628231410537
30,1.18075575894068,1.99494242442687,3.20775198170438,4.39445594718826
31,0.990006584808459,1.54987024053918,2.47809618545929,3.44670073694029
32,0.798305656848477,1.62631488664723,1.96638053752081,3.64606892576289
33,0.465088950108365,1.64992588190461,1.08972698993957,2.95709275990335
34,0.77615495802213,1.29886128416525,2.52331237529937,2.5697871615736
35,1.09699649638811,1.42890454630157,2.40281238898939,2.36276985595657
37,1.99629645946041,3.34378761728396,1.81689097454627,2.31270372036872
38,1.57328064024308,3.12137553717688,1.44769997462764,3.01487367905623
39,1.45169374443887,2.0955557101839,1.50747352693445,1.16709937372013
