patient,Q9H4M3_N,Q9H4M3_C,Q9H4M3.2_N,Q9H4M3.2_C
5,0.745021138004641,1.86735993779632,0,0
6,0.525604004117571,1.45597451213877,0,0
7,0.562713488956646,0.844710853124488,0,0
8,0.952733514434726,1.24374845652222,0,0
9,0.99434045359099,1.33301053317988,0,0
10,0.858684094630731,1.18909722205325,0,0
11,1.07126137809712,0.900599045711908,0,0
12,7.75646188322258,6.30760826984795,0,0
13,1.45168927679654,3.81784728340207,0.470367262984113,0.993055292430106
14,1.28555925533352,3.96209581703892,0.838620801645511,2.10772145389591
15,1.70651477798998,3.55933606677021,0.859536117350943,1.67201277436466
16,1.34795653047233,2.27694887367402,1.03942731873664,1.82697772605483
17,0.935867453866994,1.22939988754281,0,0
18,0.604016510760108,0.514306982569136,0,0
19,0.479125773143179,0.66267315851352,0,0
20,0.767028318765016,1.51200608291162,0,0
21,0.851411658236804,3.52743436813904,1.14727325835288,1.35293062910125
22,0.936469630172732,1.30445716326428,1.75739417373525,1.51871571148045
23,1.18351083617297,0.954607250448774,0.870476518238528,1.19650990950867
24,1.0971339367483,2.48775426554677,1.22198427319184,1.69745704626365
25,0,0,0.68820493123993,1.54456289579196
27,0,0,0.508250740060704,1.49075158316783
28,0,0,0.396581200584554,1.13633979090943
29,0,0,0.734363325861885,2.36105551997723
30,0,0,0.484304399259971,0.81539740989789
31,0,0,1.1326471163767,2.17873883730032
33,0,0,0.666281343209031,2.71844510092145
34,0,0,1.27311346110849,1.59557211019299
35,0,0,1.26549024085095,1.7567419712387
41,0.932001524971407,0.90457745583937,0,0
42,1.07360020332952,1.25100521031897,0,0
43,0.665136612021858,1.01246918286949,0,0
44,0.673554454187317,1.522023128733,0,0
45,0.720122256332581,0.867681863056679,0,0
46,0.457045291643563,0.892518561594742,0,0
47,0.864037163761276,1.85100685663281,0,0
48,0.373965757407733,1.00387460611552,0,0
57,0.790030556921044,2.20884944279085,0,0
58,1.09490111765945,1.61246549516797,0,0
59,0.903703383589295,1.53834740536268,0,0
60,1.0578996933504,1.19339451920116,0,0
61,0.874755838413325,1.30728674766034,0,0
62,0.644763673048854,1.62407164935176,0,0
63,0.551493946939126,1.16236745513866,0,0
64,0.747942066626599,1.18826468189233,0,0
69,0.541255497129423,1.14649285766764,0.520415789425715,0.825617258633418
70,0.4821793297438,0.864309329638843,0.715850490799223,1.18592039664962
71,0.713996032620674,1.18347135195273,0.507966714971883,1.30438666046902
72,0.400237203102533,0.51097956484776,0.235858875855595,0.903466127106518
73,0.715160410987628,0.719754898534517,0,0
74,0.60432888329722,1.10389785885697,0,0
75,1.28363272057967,0.768877705552061,0,0
76,0.740020036811817,1.41630437315067,0,0
77,1.24079245503875,1.43839758757445,0,0
78,1.20737913486005,1.51373014612231,0,0
79,1.04867352825598,1.20881861937688,0,0
80,0.818684871338233,1.03679394886973,0,0
81,1.00484264827605,1.64776087621023,0,0
82,1.25234662371249,1.31769833392292,0,0
83,1.12933992299846,1.57151149012752,0,0
84,0.790921236558217,1.51809810999337,0,0
85,1.46936613204168,2.41199877966628,0,0
86,1.69275719713036,3.23681581076815,0,0
87,0.889878269357604,1.29444860170818,0,0
88,1.21367359914578,3.86919239637669,0,0
89,1.24616285590361,2.10932236262344,0,0
90,1.25497866066503,2.25183947558816,0,0
91,1.72908354962551,1.62540798553342,0,0
92,1.78908423514594,2.46102689388879,0,0
93,0.695590379511616,0.844389198338631,0.667377236695809,0.811037698872953
94,0.850872310968626,1.17417471977039,0.501739763392179,0.936164681603302
95,0.436097989522149,0.882165575798833,0.311427645840166,0.974227505059312
96,0.924072379042459,1.13998831705847,0.558156090771655,1.04014254061448
