patient,Q17RY6_N,Q17RY6_C,Q17RY6.2_N,Q17RY6.2_C
25,3.84416196231532,0.961478166345439,0,0
26,1.66967734542486,2.32752789586182,0,0
27,1.64761848678776,1.28059632129539,0,0
28,1.07270033215612,0.645315516481278,0,0
49,0,0,0.597547373147732,0.673093848226313
50,0,0,1.40418500224517,1.1181679389313
51,0,0,1.81632689717108,0.9421014818141
52,0,0,1.10057476425685,2.31162999550965
